term	en_term	cat
مال	money	CURRENCY
دقة	currency	CURRENCY
السيولة النقدية	cash	CURRENCY
أفغاني	afghani	CURRENCY
بساطة بالغة	austral	CURRENCY
باهت	baht	CURRENCY
بالبوا	balboa	CURRENCY
بر	birr	CURRENCY
بيتكوين	bitcoin	CURRENCY
بوليفار	bolivar	CURRENCY
سيدي	cedi	CURRENCY
الجديد في تايوان دولار	dalasi	CURRENCY
دينار	dinar	CURRENCY
درهم	dirham	CURRENCY
دولار	dollar	CURRENCY
دونغ	dong	CURRENCY
دوبرا	dobra	CURRENCY
اليورو	euro	CURRENCY
اليورو دولار	eurodollar	CURRENCY
الاسكودو	escudo	CURRENCY
كونتو	conto	CURRENCY
الفورنت	forint	CURRENCY
غورد	gourde	CURRENCY
غواراني	guarani	CURRENCY
الغيلدر	guilder	CURRENCY
قولدن	gulden	CURRENCY
فلورين	florin	CURRENCY
INTI	inti	CURRENCY
كينا	kina	CURRENCY
سرير	kip	CURRENCY
كورونا	koruna	CURRENCY
الكرونا	krona	CURRENCY
الكرونة	krone	CURRENCY
كرونر	kroner	CURRENCY
كرون	kroon	CURRENCY
كواتشا	kwacha	CURRENCY
كواي	kwai	CURRENCY
كوانزا	kwanza	CURRENCY
كيات	kyat	CURRENCY
ليك	lek	CURRENCY
هندوراسي	lempira	CURRENCY
ليون	leone	CURRENCY
بادئة معناها أبيض	leu	CURRENCY
ليف	lev	CURRENCY
يلانجيني	lilangeni	CURRENCY
الليرة	lira	CURRENCY
لوتي	loti	CURRENCY
ميتيكال	metical	CURRENCY
نايرا	naira	CURRENCY
بوتاني	ngultrum	CURRENCY
أوقية	ouguiya	CURRENCY
Pa'anga سعر	pa'anga	CURRENCY
باتاكا	pataca	CURRENCY
البوليفي	boliviano	CURRENCY
قرطبة	cordoba	CURRENCY
بيزو	peso	CURRENCY
جنيه	pound	CURRENCY
بولا	pula	CURRENCY
جواتيمالي	quetzal	CURRENCY
راند	rand	CURRENCY
ريال عملة نقدية	rial	CURRENCY
رييل	riel	CURRENCY
رنجيت	ringgit	CURRENCY
الريال	riyal	CURRENCY
روبل	ruble	CURRENCY
روبل	rouble	CURRENCY
درهم	dram	CURRENCY
مانات	manat	CURRENCY
روبل	rubel	CURRENCY
لاري	lari	CURRENCY
تنغي	tenge	CURRENCY
لاتس	lats	CURRENCY
ليتاس	litas	CURRENCY
سوم	som	CURRENCY
hryvina	hryvina	CURRENCY
روبية	rupee	CURRENCY
روبية	rupiah	CURRENCY
الرنمينبي	renminbi	CURRENCY
شيكل	shekel	CURRENCY
شلن	shilling	CURRENCY
سوكري	sucre	CURRENCY
تاكا	taka	CURRENCY
تالا	tala	CURRENCY
tical	tical	CURRENCY
التوغريك	tugrik	CURRENCY
tughrik	tughrik	CURRENCY
وون	won	CURRENCY
ين	yen	CURRENCY
يوان	yuan	CURRENCY
الزلوتي	zloty	CURRENCY
معقل	stronghold	STRONGHOLD
معقل	bastion	STRONGHOLD
قلعة	citadel	STRONGHOLD
المعقل	blockhouse	STRONGHOLD
معقل	redoubt	STRONGHOLD
حصن	fort	STRONGHOLD
المحطة	outpost	STRONGHOLD
مقر	headquarters	STRONGHOLD
سيارة	car	CAR
سيارة	sedan	CAR
مركبة	vehicle	CAR
تلقاءي	auto	CAR
سيارة	automobile	CAR
سيارة	motorcar	CAR
شاحنة	truck	CAR
سيارة نقل	van	CAR
شاحنة	lorry	CAR
معاهدة	treaty	TREATY
ميثاق	pact	TREATY
اتفاق	accord	TREATY
اتفاق مكتوب	written agreement	TREATY
اتفاقية	agreement	TREATY
برنامج	program	PROGRAM
برنامج	programme	PROGRAM
الخطوط العريضة	outline	PROGRAM
مخطط	schema	PROGRAM
مخطط	scheme	PROGRAM
جدول أعمال	agenda	PROGRAM
الأمان	security	SECURITY
secureness	secureness	SECURITY
حماية	protection	SECURITY
احتياط	precaution	SECURITY
حماية	safeguard	SECURITY
مدينة	town	TOWN
البلدية	municipality	TOWN
البلدة	borough	TOWN
بلدة	township	TOWN
مدينة	city	TOWN
مدينة	metropolis	TOWN
مركز حضري	urban center	TOWN
منطقة حضرية	urban area	TOWN
قرية	village	TOWN
مستوطنة	settlement	TOWN
تواصل اجتماعي	community	TOWN
جريمة	crime	CRIME
جريمة	offense	CRIME
جريمة جنائية	criminal offense	CRIME
جريمة جنائية	criminal offence	CRIME
جريمة	offence	CRIME
قانون كسر	law-breaking	CRIME
مخالفة	infraction	CRIME
عنيف	violation	CRIME
انتهاك	infringement	CRIME
مخالفة	transgression	CRIME
سوء السلوك	misconduct	CRIME
إثم	wrongdoing	CRIME
جنحة	misdemeanor	CRIME
جنحة	misdemeanour	CRIME
جناية	felony	CRIME
اللجوء	asylum	ASYLUM
لجأ	refuge	ASYLUM
الملاذ الآمن	sanctuary	ASYLUM
منزل امن	safe house	ASYLUM
مأوى	shelter	ASYLUM
حل	solution	SOLUTION
إجابة	answer	SOLUTION
نتيجة	result	SOLUTION
القرار	resolution	SOLUTION
إغلاق	closure	SOLUTION
دليل	evidence	EVIDENCE
أرض	ground	EVIDENCE
دليل	proof	EVIDENCE
سبب محتمل	probable cause	EVIDENCE
تصديق	attestation	EVIDENCE
الطائرات	aircraft	AIRCRAFT
طائرة	plane	AIRCRAFT
هليكوبتر	helicopter	AIRCRAFT
طائرة حربية	warplane	AIRCRAFT
مطار	airplane	AIRCRAFT
طائرة	airliner	AIRCRAFT
طائرة نفاثة	jet	AIRCRAFT
منطاد	airship	AIRCRAFT
مركبة فضائية	dirigible	AIRCRAFT
طائرة شراعية	glider	AIRCRAFT
قاطع متناوب	chopper	AIRCRAFT
سكهووك	skyhook	AIRCRAFT
طائرة الجامبو	jumbojet	AIRCRAFT
طائرة الجامبو	jumbo jet	AIRCRAFT
طائرة	jetliner	AIRCRAFT
إرتكاس	turbojet	AIRCRAFT
مروحية هجومية من طراز أباتشي	apache attack helicopter	AIRCRAFT
اباتشي حربية	apache gunship	AIRCRAFT
طائرة مقاتلة	fighter jet	AIRCRAFT
القاذفات المقاتلة	fighter bombers	AIRCRAFT
طائرة مقاتلة	fighter aircraft	AIRCRAFT
طائرة مقاتلة	jetfighter	AIRCRAFT
طائرة مقاتلة	fighter plane	AIRCRAFT
F / A-18 طائرة مقاتلة	f/a-18 fighter jet	AIRCRAFT
سوبر هورنيت	super hornet	AIRCRAFT
هر مقاتلة	tomcat fighter	AIRCRAFT
F / A-18E / F سوبر هورنيت	f/a-18e/f super hornet	AIRCRAFT
و-22A رابتور	f-22a raptor	AIRCRAFT
و-22 رابتور	f-22 raptor	AIRCRAFT
F / A-22 رابتور	f/a-22 raptor	AIRCRAFT
F / A-18 المقاتلة	f/a-18 fighter	AIRCRAFT
F / A-22 المقاتلة	f/a-22 fighter	AIRCRAFT
الترددات اللاسلكية 4C	rf 4c	AIRCRAFT
F / A-18	f/a-18	AIRCRAFT
اف 16	f-16	AIRCRAFT
و-22	f-22	AIRCRAFT
و-33	f-33	AIRCRAFT
و 14	f-14	AIRCRAFT
مفجر	bomber	AIRCRAFT
ب-52	b-52	AIRCRAFT
مفجر سري	stealth bomber	AIRCRAFT
MQ-9 حصادة	mq-9 reaper	AIRCRAFT
الاعصار يوروفايتر	eurofighter typhoon	AIRCRAFT
ميج	mig	AIRCRAFT
طائرة هارير	harrier jet	AIRCRAFT
SU-24	su-24	AIRCRAFT
على بعد 37B اليعسوب	a-37b dragonfly	AIRCRAFT
و-7mg	f-7mg	AIRCRAFT
سراب 2000	mirage-2000	AIRCRAFT
ميج 21pfm	mig-21pfm	AIRCRAFT
SU-30MK	su-30mk	AIRCRAFT
مي 24vm / هند	mi-24vm/hind	AIRCRAFT
ص-3A اوريون	p-3a orion	AIRCRAFT
CH-47f طراز شينوك	ch-47f chinook	AIRCRAFT
ص-8A بوسيدون	p-8a poseidon	AIRCRAFT
آه-64D أباتشي	ah-64d apache	AIRCRAFT
أباتشي AH-64	ah-64 apache	AIRCRAFT
الخامس 22 العقاب	v-22 osprey	AIRCRAFT
المقاتلة الشبح	stealth fighter	AIRCRAFT
صقر مهاجم	fighting falcon	AIRCRAFT
أزيز	drone	DRONE
موجهة عن بعد	rpv	DRONE
الطائرات بدون طيار	drone aircraft	DRONE
طائرة بدون طيار	unmanned drone	DRONE
المفترس الطائرات بدون طيار	predator drone	DRONE
طائرات من دون طيار	unmanned aircraft	DRONE
المفترس بدون طيار	unmanned predator	DRONE
الطائرات بدون طيار ريبر	reaper drone	DRONE
استطلاع بدون طيار	unmanned aerial drone	DRONE
مركبة جوية بدون طيار	unmanned aerial vehicle	DRONE
طائرات بدون طيار موجهة عن بعد	remotely piloted drones	DRONE
الطائرات بدون طيار	remotely piloted aircraft	DRONE
نظام طيار	unmanned aerial system	DRONE
المفترس الطائرات بدون طيار	predator uav	DRONE
طائرة دون طيار	pilotless plane	DRONE
معلومات	information	INFORMATION
معلومات	info	INFORMATION
تفاصيل	details	INFORMATION
حقيقة	fact	INFORMATION
أخبار	news	INFORMATION
المخابرات	intelligence	INFORMATION
تحديث	update	INFORMATION
تحقيق	investigation	INVESTIGATION
تحقيق	inquiry	INVESTIGATION
تحقيق	enquiry	INVESTIGATION
مسبار	probe	INVESTIGATION
تحليل	analysis	INVESTIGATION
تحليل	analyses	INVESTIGATION
ابحاث	research	INVESTIGATION
فحص	examination	INVESTIGATION
سلاح	weapon	WEAPON
قاذف اللهب	flamethrower	WEAPON
بندقية	gun	WEAPON
سكين	knife	WEAPON
سكاكين	knives	WEAPON
صاروخ	missile	WEAPON
صواريخ	missiles	WEAPON
سيف	sword	WEAPON
السيوف	swords	WEAPON
مدفع	cannon	WEAPON
مدافع	cannons	WEAPON
سلاح ناري	firearm	WEAPON
بندقية	rifle	WEAPON
نصف التلقائي	semiautomatic	WEAPON
مسدس	pistol	WEAPON
القربينة بندقية قصيرة	carbine	WEAPON
كلاشينكوف	kalashnikov	WEAPON
بندقية	assault rifle	WEAPON
AK-47	ak-47	WEAPON
AK-74	ak-74	WEAPON
عوزي	uzi	WEAPON
ار بي جي	rpg	WEAPON
قذيفة صاروخية	rocket propelled grenade	WEAPON
ذخيرة	ammunition	WEAPON
قنبلة	bomb	WEAPON
صاروخ	rocket	WEAPON
صاروخ غير موجه	unguided rocket	WEAPON
صاروخ موجه	guided missile	WEAPON
صواريخ كروز	cruise missiles	WEAPON
الصواريخ المضادة للسفن	antiship missile	WEAPON
صواريخ مضادة للطائرات	antiaircraft missile	WEAPON
صاروخ سحب	tow missile	WEAPON
صواريخ سايد	sidewinder missile	WEAPON
صاروخ باليستي	ballistic missile	WEAPON
منجل	machete	WEAPON
رشاش	machine gun	WEAPON
مسدس	revolver	WEAPON
بندقية الصيد	shotgun	WEAPON
غاز مسيل للدموع	tear gas	WEAPON
حربة	bayonet	WEAPON
بازوكا	bazooka	WEAPON
خنجر	dagger	WEAPON
القذاف مدفع	howitzer	WEAPON
السيوف	sabers	WEAPON
مقلاع	slingshot	WEAPON
رمح	spear	WEAPON
مدية زنبركية	switchblade	WEAPON
نادي بيلي	billy club	WEAPON
القوس والسهم	bow and arrow	WEAPON
القبضات الحديدية	brass knuckles	WEAPON
سكين صيد	hunting knife	WEAPON
تسلح	armament	WEAPON
سلاح المدفعية	artillery	WEAPON
بندقية عديمة الارتداد	recoilless rifle	WEAPON
طائرات هليكوبتر هجومية	attack helicopters	WEAPON
مروحية هجومية من طراز أباتشي	apache attack helicopter	WEAPON
طائرة مقاتلة	fighter jet	WEAPON
اف 16	f-16	WEAPON
و-22	f-22	WEAPON
و-33	f-33	WEAPON
و 14	f-14	WEAPON
مفجر	bomber	WEAPON
ب-52	b-52	WEAPON
M16	m16	WEAPON
M14	m14	WEAPON
50 عيار	50-caliber	WEAPON
المفترس الطائرات بدون طيار	predator drone	WEAPON
الطائرات بدون طيار ريبر	reaper drone	WEAPON
MQ-9 حصادة	mq-9 reaper	WEAPON
الاعصار يوروفايتر	eurofighter typhoon	WEAPON
ميج	mig	WEAPON
حاملة طائرات	aircraft carrier	WEAPON
فرقاطة	frigate	WEAPON
arleigh من الدرجة بيرك المدمرة	arleigh burke-class destroyer	WEAPON
manpad	manpad	WEAPON
بطاريات صواريخ مضادة للطائرات	antiaircraft missile batteries	WEAPON
ناقلة جنود مدرعة	armored personnel carrier	WEAPON
ناقلة جند مدرعة	armoured personnel carrier	WEAPON
مركبة مشاة قتالية	infantry fighting vehicle	WEAPON
دبابة قتالية	battle tank	WEAPON
أبرامز M1A1	m1a1 abrams	WEAPON
أبرامز M1	m1 abrams	WEAPON
فالحركة	mrap	WEAPON
برادلي مركبة القتال	bradley fighting vehicle	WEAPON
M2 برادلي	m2 bradley	WEAPON
طائرة هارير	harrier jet	WEAPON
SU-24	su-24	WEAPON
على بعد 37B اليعسوب	a-37b dragonfly	WEAPON
و-7mg	f-7mg	WEAPON
s565s النمر	s565s panther	WEAPON
سراب 2000	mirage-2000	WEAPON
كما-532 طراز كوغار	as-532 cougar	WEAPON
NH-90 بيت التمويل الوطني	nh-90 nfh	WEAPON
على بعد 129c mangusta	a-129c mangusta	WEAPON
ميج 21pfm	mig-21pfm	WEAPON
SU-30MK	su-30mk	WEAPON
مي 24vm / هند	mi-24vm/hind	WEAPON
ص-3A اوريون	p-3a orion	WEAPON
CH-47f طراز شينوك	ch-47f chinook	WEAPON
ص-8A بوسيدون	p-8a poseidon	WEAPON
آه-64D أباتشي	ah-64d apache	WEAPON
أباتشي AH-64	ah-64 apache	WEAPON
الخامس 22 العقاب	v-22 osprey	WEAPON
صاروخ جهنم	hellfire missile	WEAPON
ذخيرة موجهة بدقة	precision guided munition	WEAPON
العبوات الناسفة	ied	WEAPON
عبوة ناسفة	improvised explosive device	WEAPON
تفخيخ السيارات	vbied	WEAPON
مرتجلة استنباط ناسفة	improvised explosive devise	WEAPON
المرتجلة المتفجرة	improvised explosive	WEAPON
قنبلة محلية الصنع	improvised bomb	WEAPON
درع قنبلة خارقة على جانب الطريق	armor piercing roadside bomb	WEAPON
تتحمل العبوات الناسفة	borne ied	WEAPON
سلاح الدمار الشامل	weapon of mass destruction	WMD
أسلحة الدمار الشامل	weapons of mass destruction	WMD
أسلحة الدمار الشامل	wmd	WMD
قنبلة نووية	nuclear bomb	WMD
السلاح النووي	nuclear weapon	WMD
جهاز نووي	nuclear device	WMD
أسلحة نووية	nuclear weapons	WMD
قنبلة ذرية	atom bomb	WMD
السلاح النووي التكتيكي	tactical nuke	WMD
أسلحة نووية	atomic weapons	WMD
غاز الأعصاب	nerve gas	WMD
السارين	sarin	WMD
غاز السارين	sarin gas	WMD
غاز الاعصاب السارين	sarin nerve gas	WMD
غاز الأعصاب السارين	sarin nerve agent	WMD
غاز الأعصاب VX	vx nerve agent	WMD
غاز الخردل	mustard gas	WMD
الخردل وكيل نفطة	mustard blister agent	WMD
الحلقي	cyclosarin	WMD
غاز الأعصاب VX	vx nerve gas	WMD
VX المخزون	vx stockpile	WMD
وكيل نفطة	blister agent	WMD
سلاح كيميائي	chemical weapon	WMD
أسلحة غير تقليدية	nonconventional weapons	WMD
حرب كيمايئية	chemical warfare	WMD
طعام	food	FOOD
العناصر الغذائية	nutrient	FOOD
غذاء	nutriment	FOOD
تغذية	nourishment	FOOD
تغذية	nutrition	FOOD
رزق	sustenance	FOOD
غذاء	aliment	FOOD
أحكام	provisions	FOOD
مؤن	commissariat	FOOD
بقالة	grocery	FOOD
مادة غذائية	foodstuff	FOOD
دفاع	defense	DEFENSE
دفاع	defence	DEFENSE
أغضبهم	angered by 	DEFENSE
أسأل عن	ask for 	DEFENSE
الغاء	call off 	DEFENSE
اغلق	shut down 	DEFENSE
أخذ إجازة	take leave 	DEFENSE
جمع الشمل	round up	DEFENSE
تأتي بعد	come after 	DEFENSE
يبدو واثقا	seem confident 	DEFENSE
اقامة	set up 	DEFENSE
أخذ شكل	take shape 	DEFENSE
تقدم للامام	go forward 	DEFENSE
إجلب	bring out 	DEFENSE
أخمد	put out 	DEFENSE
استخدم الطائره	take flight 	DEFENSE
زحف	drag out 	DEFENSE
سحب، استخلاص، رسم، شد استدراج	draw out 	DEFENSE
انفصال	break down 	DEFENSE
يجلب	bring down 	DEFENSE
خبط	strike down 	DEFENSE
تقليص	wind down 	DEFENSE
يتم إحتوائه	wrap up 	DEFENSE
إثارة	stir up 	DEFENSE
يسخرون	scoff at 	DEFENSE
استمع إلى	listen in	DEFENSE
سلك الصنبور	wire tap 	DEFENSE
تسوية	iron out	DEFENSE
يصوب او يهدف	straighten out	DEFENSE
ضع ارضا	put down 	DEFENSE
هيا تعال	come up 	DEFENSE
تحرك	move up	DEFENSE
اربط	lock in	DEFENSE
اغلق	lock up	DEFENSE
إنزال	drop off 	DEFENSE
اركب	get on 	DEFENSE
ضع	put up 	DEFENSE
طرح	put forward 	DEFENSE
التمسك ب	get hold of 	DEFENSE
تنفيذ	carry out 	DEFENSE
التهوين	play down 	DEFENSE
استبعاد	rule out	DEFENSE
كشف علامة	reveal sign	DEFENSE
نرتقي الى	live up to	DEFENSE
ابحث عن	look for	DEFENSE
البحث عن	search for 	DEFENSE
يتم تحديد	is determined 	DEFENSE
يخلط	shake up 	DEFENSE
الشروع في	embark on	DEFENSE
انطلاق	kick off	DEFENSE
افتح	open up	DEFENSE
تورط	set in motion 	DEFENSE
تدعيم	beef up  	DEFENSE
أنشأ	build up 	DEFENSE
يختم، ينهي	wind up 	DEFENSE
وضح	clear up 	DEFENSE
يحيط علما	take note 	DEFENSE
مراقبة	watch over 	DEFENSE
استعد	gear up	DEFENSE
نلتقي	get together 	DEFENSE
ابتعد أو ارحل	go away 	DEFENSE
انفروا	go forth 	DEFENSE
اذهب إلى	go to 	DEFENSE
اترك خلفك	leave behind 	DEFENSE
إسحب للخارج	pull out	DEFENSE
إضراب	walk out	DEFENSE
اكتشف	find out 	DEFENSE
أسأل عن	ask for	DEFENSE
التواصل مع	communicate with	DEFENSE
مقابله مع	meet with 	DEFENSE
واجهت	run into 	DEFENSE
أعط ملاحظة	give notice 	DEFENSE
إرسال كلمة	send word 	DEFENSE
جنب مع	side with	DEFENSE
تدعيم	beef up	DEFENSE
خطوة للأعلى	step up 	DEFENSE
التعادل	tie in 	DEFENSE
دفع ل	pay for 	DEFENSE
التدخل	step in 	DEFENSE
يراعي	look after	DEFENSE
يمر	go by 	DEFENSE
اذهب عبر	go through 	DEFENSE
تجزئة خارج	hash out	DEFENSE
استقر على	settle on	DEFENSE
انتهى الكلام	talk over	DEFENSE
تحرر	set free 	DEFENSE
يعترف بالهزيمة - يتراجع	back down	DEFENSE
عائق	draw back 	DEFENSE
اخرج	get out 	DEFENSE
اسحب للخلف	pull back  	DEFENSE
إسحب للخارج	pull out 	DEFENSE
تقيد	abide by	DEFENSE
تتفق مع	conform to	DEFENSE
أوقع	drop out 	DEFENSE
الاستسلام	give in 	DEFENSE
استسلم	give up 	DEFENSE
تغاضى	look over	DEFENSE
يتطلع الى	glance over	DEFENSE
اخلع ملابسك	dress down 	DEFENSE
انتقاد	lash out 	DEFENSE
اللجام في	bridle at	DEFENSE
أستدعاء	call up	DEFENSE
يطبل	drum up 	DEFENSE
سحب معا	pull together	DEFENSE
تطويق	cordon off	DEFENSE
رفض بالتصويت	vote down	DEFENSE
قمع	crack down 	DEFENSE
اعتقال و	arrest and 	DEFENSE
يتولى	take over 	DEFENSE
اقصاء	boot out	DEFENSE
طرد	kick out  	DEFENSE
إمسح	wipe out	DEFENSE
ينفجر	blow up 	DEFENSE
المسدس	gun down 	DEFENSE
خطف وقتل	kidnapped and killed 	DEFENSE
مقتل و	killed and 	DEFENSE
قتل أو	killed or 	DEFENSE
اسقاط	shoot down 	DEFENSE
القضاء على	stamp out 	DEFENSE
علق	string up 	DEFENSE
هجوم وطعن	attacked and stabbed 	DEFENSE
دافع	fight back 	DEFENSE
محاربة أسفل	fight down 	DEFENSE
اطلاق النار و	shot and 	DEFENSE
تأهب ل	square off	DEFENSE
حرب الأجور	wage war	DEFENSE
غزوة	foray into	DEFENSE
تطفل على	intrude on	DEFENSE
مرحلة ما قبل المدرسة	preschool	EARLY CHILDHOOD EDUCATION
ما قبل المدرسة	pre school	EARLY CHILDHOOD EDUCATION
روضة أطفال	kindergarten	EARLY CHILDHOOD EDUCATION
الروضة	kindergartener	EARLY CHILDHOOD EDUCATION
تعليم الطفولة المبكرة	early childhood education	EARLY CHILDHOOD EDUCATION
اسبقية	head start	EARLY CHILDHOOD EDUCATION
ك ما قبل	pre k	EARLY CHILDHOOD EDUCATION
رياض الأطفال قبل	pre kindergarden	EARLY CHILDHOOD EDUCATION
مدرسة	school	SCHOOLS
الأكاديمية	academy	SCHOOLS
كلية	college	POSTSECONDARY EDUCATION
جامعة	university	POSTSECONDARY EDUCATION
دكتور جامعى	professor	POSTSECONDARY EDUCATION
تعليم عالى	higher education	POSTSECONDARY EDUCATION
في مرحلة ما بعد التعليم الثانوي	post secondary education	POSTSECONDARY EDUCATION
في مرحلة ما بعد التعليم الثانوي	postsecondary education	POSTSECONDARY EDUCATION
مدرسة القانون	law school	POSTSECONDARY EDUCATION
كلية الطب	medical school	POSTSECONDARY EDUCATION
تخرج من المدرسه	graduate school	POSTSECONDARY EDUCATION
درجة البكالوريوس	bachelor degree	POSTSECONDARY EDUCATION
شهادة ماجستير	master degree	POSTSECONDARY EDUCATION
دكتوراه	doctorate	POSTSECONDARY EDUCATION
إصلاح التعليم	education reform	EDUCATION REFORM
المصلح التعليم	education reformer	EDUCATION REFORM
الإصلاحات التعليمية	educational reforms	EDUCATION REFORM
إصلاح تمويل التعليم	education funding reform	EDUCATION REFORM
إصلاح المدارس	school reform	EDUCATION REFORM
المنهج الجديد	new curriculum	EDUCATION REFORM
معرفة القراءة والكتابة	literacy	LITERACY
مثقف	literate	LITERACY
أمي	illiterate	LITERACY
الأميين	illiterates	LITERACY
أمية	illiteracy	LITERACY
سياحة	tourism	TOURISM
touristry	touristry	TOURISM
مسافر	traveler	TOURISM
سياح	holidaymaker	TOURISM
السيارة السياحية	tourer	TOURISM
سياحي	tourist	TOURISM
نفط	oil	OIL
النفط الخام الخفيف الحلو	light sweet crude	OIL
الخام الثقيل	heavy crude	OIL
البترول	petroleum	OIL
رمل داكن	tar sand	OIL
الغازولين	gasoline	OIL
ديزل	diesel fuel	OIL
وقود الطائرات	jet fuel	OIL
كيروسين	kerosene	OIL
بنزين	petrol	OIL
وقود السيارات	vehicle fuel	OIL
زيت الوقود	fuel oil	OIL
النفط الأحفوري	fossil oil	OIL
فحم	coal	COAL
فحم الإنتراسيت	anthracite	COAL
الليجنيت ضرب من الفحم الحجرى	lignite	COAL
قارى	bituminous	COAL
الميثان	methane	NATURAL GAS
غاز طبيعي	natural gas	NATURAL GAS
فراك	frack	NATURAL GAS
التكسير	fracking	NATURAL GAS
الغاز الصخري	shale gas	NATURAL GAS
الطاقة النووية	nuclear energy	NUCLEAR ENERGY
مفاعل نووي	nuclear reactor	NUCLEAR ENERGY
محطة نووية	nuclear plant	NUCLEAR ENERGY
القوة النووية	nuclear power	NUCLEAR ENERGY
الألواح الشمسية	solar panel	RENEWABLE ENERGY
الضوئية	photovoltaic	RENEWABLE ENERGY
الطاقة الشمسية	solar power	RENEWABLE ENERGY
الطاقة الشمسية	solar power	RENEWABLE ENERGY
طاقة شمسية	solar energy	RENEWABLE ENERGY
توربينات الرياح	wind turbine	RENEWABLE ENERGY
مزرعة الرياح	wind farm	RENEWABLE ENERGY
قوة الرياح	wind power	RENEWABLE ENERGY
الطاقة الكهرومائية	hydroelectric	RENEWABLE ENERGY
الطاقة الكهرومائية	hydroelectricity	RENEWABLE ENERGY
الطاقة الكهرومائية	hydropower	RENEWABLE ENERGY
الكتلة الحيوية	biomass	RENEWABLE ENERGY
الوقود الحيوي	biofuel	RENEWABLE ENERGY
الطاقة الحرارية الأرضية	geothermal energy	RENEWABLE ENERGY
الطاقة الحرارية الجوفية	geothermal power	RENEWABLE ENERGY
الجنوب إلى الجنوب	south to south	SOUTH-TO-SOUTH
من الجنوب الى الجنوب	south-to-south	SOUTH-TO-SOUTH
