term	cat	cat2
agriculturalist 	AGR	
agriculturist 	AGR	
cattle rancher 	AGR	
cropper 	AGR	
cultivator 	AGR	
dairy farmer 	AGR	
farmer 	AGR	
farm labourer 	AGR	
farm worker 	AGR	
fisher 	AGR	
granger 	AGR	
indigenous farmer 	AGR	
mills association 	AGR	
orchardist 	AGR	
peasant 	AGR	
rancher 	AGR	
sharecropper 	AGR	
sharecrop farmer 	AGR	
sodbuster 	AGR	
subsistence farmer 	AGR	
tenant farmer 	AGR	
buddhist 	BUD	
buddhist clergy 	BUD	
buddhist missionary 	BUD	
buddhist monastary 	BUD	
buddhist monk 	BUD	
buddhist priest 	BUD	
buddhist student 	BUD	EDU
buddhist warrior 	BUD	UAF
aerospace 	BUS	
airline 	BUS	
airline business 	BUS	
airway 	BUS	
agrobusiness 	BUS	AGR
arms industry 	BUS	MIL
automaker 	BUS	
auto maker 	BUS	
auto manufacturer 	BUS	
bargainer 	BUS	
boss 	BUS	
businessperson 	BUS	
business 	BUS	
business executive 	BUS	
business leader 	BUS	
business tycoon 	BUS	
cabinetmaker 	BUS	
cargo ship 	BUS	
cargo vessel 	BUS	
carmaker 	BUS	
car maker 	BUS	
car manufacturer 	BUS	
ceo 	BUS	
chamber of commerce  	BUS	
chamber of commerce and industry 	BUS	
commercial bank 	BUS	
commercial enterprise 	BUS	
company 	BUS	
company owner 	BUS	
computer maker 	BUS	
conglomerate 	BUS	
containership 	BUS	
container ship 	BUS	
container vessel 	BUS	
corporate executive 	BUS	
corporation 	BUS	
credit union 	BUS	
defence industry 	BUS	
defense industry 	BUS	
defence contractor 	BUS	
defense contractor 	BUS	
electronics maker 	BUS	
employer 	BUS	
energy corp 	BUS	
enterpreneur 	BUS	
entrepreneur 	BUS	
exporter 	BUS	
freighter 	BUS	
furniture maker 	BUS	
gas corp 	BUS	
general contractor 	BUS	
holding company 	BUS	
industry 	BUS	
investor 	BUS	
jumbojet 	BUS	
jumbo jet  	BUS	
landlord 	BUS	
leading bank 	BUS	
manafacture 	BUS	
manufacturer 	BUS	
merchandiser 	BUS	
merchant 	BUS	
merchant ship 	BUS	
merchant vessel 	BUS	
monger 	BUS	
oiler 	BUS	
oil corp 	BUS	
oil group 	BUS	
oil tanker 	BUS	
owners of private companies  	BUS	
private bank 	BUS	
producer 	BUS	
savings and loan 	BUS	
securities exchange 	BUS	
shop owner 	BUS	
steelmaker 	BUS	
steelworker 	BUS	
steel tycoon 	BUS	
supertanker 	BUS	
tanker 	BUS	
top executive 	BUS	
tourism industry 	BUS	
tourism office 	BUS	
trader 	BUS	
transport compan 	BUS	
tycoon 	BUS	
waiter 	BUS	
waitress 	BUS	
archbishop 	CHR	
archimandrite 	CHR	
anglican 	CHR	PRO
archdiocese 	CHR	
archpriest 	CHR	CTH
bishop 	CHR	
catholic bishop 	CHR	CTH
catholic missionary 	CHR	CTH
catholic monastary 	CHR	CTH
catholic monk 	CHR	CTH
catholic priest 	CHR	CTH
catholic saint 	CHR	CTH
christian 	CHR	
christian clergy 	CHR	CTH
christian missionary 	CHR	
christian monastary 	CHR	
christian monk 	CHR	
christian priest 	CHR	
diocese 	CHR	
hierarch 	CHR	CTH
high priest 	CHR	CTH
maronite 	CHR	MAR
methodist church 	CHR	PRO
prelate 	CHR	CTH
protestant missionary 	CHR	PRO
unitarian  	REL	CHR
anti-drug agent 	COP	
anti riot police  	COP	
armed border patrol 	COP	
armed police  	COP	
armed riot police  	COP	
border patrol 	COP	
border patrol agent 	COP	
border patrol police  	COP	
border patrol unit 	COP	
central jail authority 	COP	
central jail of  	COP	
constable 	COP	
correctional institution 	COP	
counter drugs expert 	COP	
counter drug expert 	COP	
counter narcotics officer 	COP	
criminal investigator 	COP	
criminal police  	COP	
deputy 	COP	
detective 	COP	
drug enforcement 	COP	
federal police  	COP	
gendarmery  	COP	
head of national police  	COP	
homicide detective 	COP	
investigative agency 	COP	
jail guard 	COP	
lawman  	COP	
law enforcement 	COP	
law enforcement agency 	COP	
law enforcement agents 	COP	
law enforcement authority 	COP	
law enforcement officer 	COP	
law enforcement official 	COP	
local law enforcement 	COP	
narcotics officer 	COP	
national police  	COP	
national police chief 	COP	
national security force 	MIL	 
police  	COP	
police captain 	COP	
police chief 	COP	
police commissioner 	COP	
police constable 	COP	
police deputy commissioner 	COP	
police district 	COP	
police force 	COP	
police officer 	COP	
police official 	COP	
police personnel 	COP	
police post 	COP	
prison 	COP	
prisons department 	COP	
prison house 	COP	
public security authority 	COP	
public security bureau 	COP	
riot police  	COP	
security check 	COP	
security force 	COP	
security officer 	COP	
security official 	COP	
sheriff 	COP	
sheriff deputy 	COP	
state prison 	COP	
state trooper 	COP	
abductor 	CRM	
armed bandit 	CRM	
arms-runner 	CRM	
arms dealer 	CRM	
arsonist 	CRM	
assailant 	CRM	
bandit 	CRM	
blackmailer 	CRM	
branokker 	CRM	
brigand 	CRM	
burglar 	CRM	
carjacker 	CRM	
cartel 	CRM	
cattle thief  	CRM	
conman  	CRM	
contrabandist 	CRM	
convict 	CRM	
counterfeiter 	CRM	
crime syndicate 	CRM	
criminal 	CRM	
crook 	CRM	
culprit 	CRM	
cutpurse 	CRM	
drug dealer 	CRM	
drug gang 	CRM	
drug kingpin 	CRM	
drug lord 	CRM	
drug mule 	CRM	
drug peddler 	CRM	
drug pusher 	CRM	
drug runner 	CRM	
drug syndicate 	CRM	
drug trafficker 	CRM	
drug trafficking terrorist 	CRM	
extortioner 	CRM	
extortionist 	CRM	
felon 	CRM	
forger 	CRM	
gang 	CRM	
gangdom  	CRM	
gangland 	CRM	
gangster 	CRM	
gaolbird 	CRM	
gunrunner 	CRM	
holdup man  	CRM	
housebreaker 	CRM	
human trafficker 	CRM	
illegal immigrant 	CRM	
illegal migrant 	CRM	
illicit drug industr 	CRM	
jailbird 	CRM	
jail bird 	CRM	
kidnaper 	CRM	
kidnapper 	CRM	
killer 	CRM	
larcener 	CRM	
larcenist 	CRM	
lawbreaker 	CRM	
law offender 	CRM	
maffia 	CRM	
mafia 	CRM	
mafia boss 	CRM	
mafioso 	CRM	
malefactor 	CRM	
miscreant 	CRM	
mobster 	CRM	
mugger 	CRM	
narco-terrorist 	CRM	
narco-trafficker 	CRM	
organized crime  	CRM	
outlaw 	CRM	
paedophile 	CRM	
pedophile 	CRM	
child predator 	CRM	
perpetrator 	CRM	
pickpocket 	CRM	
pilferer 	CRM	
pirate 	CRM	
rapist 	CRM	
rapist murderer 	CRM	
robber 	CRM	
rumrunner 	CRM	
rustler 	CRM	
safebreaker 	CRM	
safecracker 	CRM	
sea robber 	CRM	
sea rover 	CRM	 
serial killer 	CRM	
serial murderer 	CRM	
shoplifter 	CRM	
smuggler 	CRM	
snatcher 	CRM	
sneak thief 	CRM	
snitcher 	CRM	
spree killer 	CRM	
stickup man  	CRM	
thief  	CRM	
trafficker 	CRM	
traffiker 	CRM	
adoption group 	CVL	
airliner 	CVL	
athlete 	CVL	
backpacker 	CVL	
chief engineer 	CVL	
child 	CVL	
children 	CVL	
citizen 	CVL	
civic group 	CVL	
civilian 	CVL	
civil society 	CVL	
colonist 	CVL	
commercial jet 	CVL	
community 	CVL	
constituent 	CVL	
customer 	CVL	
elector 	CVL	
electorate 	CVL	
engineer 	CVL	
ethnic group 	CVL	
ethnic minority 	CVL	
ethnic minority races 	CVL	
excursionist 	CVL	
girl  	CVL	
hiker 	CVL	
hunter 	CVL	
immigrant 	CVL	
indigenous people 	CVL	
infant 	CVL	
jetliner 	CVL	
landholder 	CVL	
landowner 	CVL	
migrant 	CVL	
migrant worker 	CVL	
mob  	CVL	
mother 	CVL	
mourner 	CVL	
native 	CVL	
native people 	CVL	
naturalized 	CVL	
neighborhood 	CVL	
neighbourhood 	CVL	
noncombatant 	CVL	
non-combatant 	CVL	
non-native 	CVL	
non-resident 	CVL	
onlooker 	CVL	
passenger 	CVL	
passenger airliner 	CVL	
passenger jet  	CVL	   
population 	CVL	
private citizen 	CVL	
property owner 	CVL	
rabble  	CVL	
repatriate 	CVL	
resident  	CVL	
resident of the capital  	CVL	
scientist 	CVL	
settlement 	CVL	
shopkeeper 	CVL	
sightseer 	CVL	
slum dweller 	CVL	
small town 	CVL	
taxpayers 	CVL	
tenant 	CVL	
the poor  	CVL	
tourer 	CVL	
tourist 	CVL	
townsperson 	CVL	
townspeople 	CVL	
traveler 	CVL	
traveller 	CVL	
victim 	CVL	
victims 	CVL	
villager 	CVL	
village 	CVL	
voter 	CVL	
woman 	CVL	 
women 	CVL	 
man 	PPL	
men 	PPL	
people 	PPL	
persons 	PPL	
academic 	EDU	
academician 	EDU	
college 	EDU	
collegian 	EDU	
conservatory 	EDU	
dean 	EDU	
doctoral candidate 	EDU	
doctoral student 	EDU	
economic expert 	EDU	
economist 	EDU	
educatee 	EDU	
educational institution 	EDU	
educator 	EDU	
headmaster 	EDU	
high school 	EDU	
high schooler 	EDU	
historian 	EDU	
intellectual 	EDU	
kindergarden 	EDU	
kindergarten 	EDU	
kindergartner 	EDU	
lecturer 	EDU	
middle school 	EDU	
middle schooler 	EDU	
preschool 	EDU	
professor 	EDU	
professor emeritus 	EDU	
pupil 	EDU	
research institution 	EDU	
scholar 	EDU	
school 	EDU	
schoolhouse 	EDU	
schoolteacher 	EDU	
science congress 	EDU	
sociologist 	EDU	
student 	EDU	
students and professor 	EDU	
students and teacher 	EDU	
teacher 	EDU	
university 	EDU	
state university 	EDU	
first grader 	EDU	
second grader 	EDU	
third grader 	EDU	
fourth grader 	EDU	
fifth grader 	EDU	
sixth grader 	EDU	
seventh grader 	EDU	
eighth grader 	EDU	
ninth grader 	EDU	
tenth grader 	EDU	
eleventh grader 	EDU	
twelfth grader 	EDU	
actor  	ELI	
first family 	ELI	
first lady 	ELI	
former prime minister 	ELI	
former president 	ELI	
honorary consul 	ELI	
retired 	ELI	
vip 	ELI	
conservationist 	ENV	
deparment of environment 	ENV	}
ecologist 	ENV	
eco warrior 	ENV	
environmentalist 	ENV	
green party 	ENV	 
tree hugger 	ENV	
wildlife conservationist 	ENV	
administration 	GOV	
administrative body 	GOV	
administrative official 	GOV	
administrative unit 	GOV	
advisory board 	GOV	
advocate general 	GOV	JUD
agriculture and irrigation ministry 	GOV	AGR
agriculture minister 	GOV	AGR
agriculture secretary 	GOV	AGR
ambassador 	GOV	
ambassador at  	GOV	
ambassador for  	GOV	
ambassador to  	GOV	
animal husbandry and aquatics minister 	GOV	AGR
anti graft commission 	GOV	
assembly of the union 	GOV	
atomic energy committee 	GOV	
attorney general 	GOV	
auditor general 	GOV	
authority 	GOV	
autocrat 	GOV	
a cabinet meeting  	GOV	
bank control department 	GOV	BUS
border trade department 	GOV	BUS
broadcast minist 	GOV	MED
bureaucracy 	GOV	
bureaucrat 	GOV	
bureau of special investigation  	GOV	COP
bureau of special operations  	GOV	SPY
cabinet 	GOV	
cabinet minister 	GOV	
cabinet of ministers  	GOV	
cabinet secretary 	GOV	
caretaker administration 	GOV	
caretaker government 	GOV	
central bank 	GOV	BUS
central bank governor 	GOV	BUS
central committee for drug abuse control 	GOV	
central election commission 	GOV	
central election committee 	GOV	
chairman of the council of ministers 	GOV	
chancellery 	GOV	
chancellor 	GOV	
charge d'affaires 	GOV	
chief executive 	GOV	
chief minister 	GOV	
chief of defence staff 	GOV	MIL
chief of election commission 	GOV	
chief of staff 	GOV	
chief of state 	GOV	
city manager 	GOV	
city mayor 	GOV	
civil authority 	GOV	
civil aviation department 	GOV	
civil aviation director general 	GOV	
civil aviation officer 	GOV	
civil aviation staff 	GOV	
civil defense department 	GOV	MIL
civil defense minist 	GOV	MIL
civil defense secretary 	GOV	MIL
civil officer 	GOV	
civil servant 	GOV	
civil service 	GOV	
coalition of ruling parties 	GOV	
commerce department 	GOV	
commerce minist 	GOV	
commerce secretary 	GOV	
committee for drug abuse control 	GOV	
committee of state 	GOV	
communications bureau 	GOV	MED
constituent assembly 	GOV	
constitutional monarcy 	GOV	
construction minist 	GOV	DEV
consulate 	GOV	
consul 	GOV	
consul general 	GOV	
consul general office 	GOV	
cooperation minist 	GOV	
council of ministers 	GOV	
council of state 	GOV	
court of auditors 	GOV	
crown prince 	GOV	
customs official 	GOV	
defence minist 	GOV	MIL
defence secretary 	GOV	MIL
defense department 	GOV	MIL
defense minist 	GOV	MIL
defense secretary 	GOV	MIL
defense services 	GOV	MIL
department for protocol 	GOV	
department of agriculture 	GOV	AGR
department of bank control 	GOV	BUS
department of border trade 	GOV	BUS
department of civil aviation 	GOV	
department of civil defense 	GOV	MIL
department of commerce 	GOV	BUS
department of defense 	GOV	MIL
department of education 	GOV	EDU
department of environment 	GOV	ENV
department of the environment 	GOV	ENV
department of environmental quality 	GOV	ENV
department of foreign affairs 	GOV	
department of protocol 	GOV	
department of revenue 	GOV	
department of tourism 	GOV	
dept of transportation 	GOV	
dept of agriculture 	GOV	AGR
dept of tourism 	GOV	
deputy prime minister 	GOV	
despot 	GOV	
development council 	GOV	DEV
dictator 	GOV	
diplomatic building 	GOV	
diplomatic building in   	GOV	
diplomat 	GOV	
director general 	GOV	
director general of civil aviation 	GOV	
director of defence services intelligence 	GOV	MIL
disaster management and relief minist 	GOV	
disaster management minist 	GOV	
district commissioner 	GOV	
economic minist 	GOV	
economy secretary 	GOV	
education department 	GOV	EDU
education minist 	GOV	EDU
education official 	GOV	EDU
education secretary 	GOV	EDU
election commission 	GOV	
election commission member 	GOV	
electoral commission 	GOV	
election complaints commission 	GOV	
electricity authority 	GOV	
embassy 	GOV	
embassy in   	GOV	
emissary 	GOV	
emperor 	GOV	
empress 	GOV	
energy minist 	GOV	
energy secretary 	GOV	
ent affairs minist 	GOV	
environmental protection agency 	ENV	 
environment minist 	GOV	ENV
envoy 	GOV	
envoy extraordinary 	GOV	
executive department 	GOV	MIL
external affairs department 	GOV	
external affairs minist 	GOV	
external relations minist 	GOV	
federal chancellery 	GOV	
finance administration minist 	GOV	
finance minist 	GOV	
finance official 	GOV	
finance services minister 	GOV	
financial secretary 	GOV	
firefighter 	GOV	
fire brigade 	GOV	
fire brigade official 	GOV	
fire chief 	GOV	
fire company 	GOV	
fire department 	GOV	
fire fighter 	GOV	
fire marshal 	GOV	
fire service 	GOV	
fire warden 	GOV	
fisheries and livestock minist 	GOV	AGR
food and disaster management and relief minist 	GOV	
food and disaster management minist 	GOV	
food minist 	GOV	
foreign affairs minist 	GOV	
foreign affairs ministry 	GOV	
foreign diplomatic building 	GOV	
foreign embassy 	GOV	
foreign investment commission 	GOV	
foreign office 	GOV	
foreign relations committee 	GOV	
foreign relations minist 	GOV	
foreign secretary 	GOV	
general for law and order 	GOV	
geologic survey and its mineral exploration department 	GOV	
governance 	GOV	
governing party 	GOV	
government 	GOV	
government commission 	GOV	
government delegation 	GOV	
government employer 	GOV	BUS
government lawmaker 	GOV	PTY
government official 	GOV	
government organization 	GOV	
government representative 	GOV	
government run firm 	GOV	BUS
governor 	GOV	
governor general 	GOV	
head of government 	GOV	
head of state 	GOV	
health and family minist 	GOV	HLH
health department 	GOV	HLH
health minist 	GOV	HLH
health official 	GOV	HLH
health personnel 	GOV	HLH
higher education minist 	GOV	EDU
highly ranking official 	GOV	
high commission 	GOV	
high official 	GOV	
high ranking offical 	GOV	
high ranking officer 	GOV	
home affairs minist 	GOV	
home and religious affairs minist 	GOV	REL
human rights commission 	GOV	HRI
information committee 	GOV	MED
information office 	GOV	MED
inspector general 	GOV	COP
interim government 	GOV	
interim leader 	GOV	
interim president 	GOV	
interior secretary 	GOV	
investigative commission 	GOV	
investment commission 	GOV	
junta 	GOV	
junta chief 	GOV	
kingdom 	GOV	
king 	GOV	
labor department 	GOV	LAB
labor secretary 	GOV	LAB
law officer 	GOV	
legate 	GOV	
livestock authorit 	GOV	AGR
local drug controlling authorities 	GOV	
mayor 	GOV	
medical official 	GOV	HLH
meteorological department 	GOV	
military backed government 	GOV	
military dictator 	GOV	MIL
military government 	GOV	MIL
military junta 	GOV	MIL
military regime 	GOV	MIL
military rule 	GOV	MIL
mines official 	GOV	
ministers and mps 	GOV	
ministers of state 	GOV	
minister plenipotentiary 	GOV	
minister without portfolio 	GOV	
ministry_  	GOV	
ministry delegation_  	GOV	
mission to the united nations 	GOV	
monarch 	GOV	
mps of the ruling party 	GOV	
national airline 	GOV	BUS
national bank 	GOV	BUS
national board of revenue 	GOV	
national development council 	GOV	DEV
national economic council 	GOV	BUS
national education committee 	GOV	EDU
national electoral commission 	GOV	
national health committee 	GOV	HLH
national investment committee 	GOV	BUS
national news agency 	GOV	MED
national nutritional council 	GOV	HLH
national security adviser 	GOV	MIL
national security advisor 	GOV	MIL
national security chief 	GOV	MIL
national security council 	GOV	MIL
national security office 	GOV	MIL
neutral caretaker government 	GOV	
nuclear energy committee 	GOV	
office of the consul general 	GOV	
office of the high commission 	GOV	
office of the unrepresentative 	GOV	
official news agency 	GOV	MED
official source 	GOV	
palace offcial 	GOV	
paramount ruler 	GOV	
patent office 	GOV	BUS
people's bank 	GOV	BUS
people's committee 	GOV	
peoples bank 	GOV	BUS
permanent representative to the united nations 	GOV	
planning commission 	GOV	
politburo 	GOV	
politburo member 	GOV	
polity 	GOV	
port authorit 	GOV	
postal department 	GOV	
potentate 	GOV	
power secretary 	GOV	
praesidium 	GOV	
premier 	GOV	
presidential aide 	GOV	
presidential palace 	GOV	
president 	GOV	
presidium 	GOV	
prime minister 	GOV	
prime minster 	GOV	
prince 	GOV	
privatization commission 	GOV	BUS
privitization commission 	GOV	BUS
privy council 	GOV	
prosecutor general 	GOV	JUD
protocol department 	GOV	
provincal office 	GOV	
provincial officials 	GOV	
provisional government 	GOV	
public health chief 	GOV	HLH
public relations officer 	GOV	
public sector 	GOV	
public service commission 	GOV	DEV
regime 	GOV	
regional governor 	GOV	
regional representative 	GOV	
regulatory body 	GOV	
regulator 	GOV	
religious affairs bureau 	GOV	REL
representative in parliament 	GOV	
representative to the un 	GOV	
reserve bank 	GOV	BUS
reserve bank governor 	GOV	BUS
royal administration 	GOV	
royal advisory 	GOV	
royal coalition government 	GOV	
royal government 	GOV	
royal palace 	GOV	
ruler 	GOV	
ruling alliance 	GOV	PTY
ruling coalition 	GOV	
ruling faction 	GOV	
ruling general 	GOV	MIL
ruling junta 	GOV	
ruling military government 	GOV	MIL
ruling party 	GOV	
ruling party mp 	GOV	
ruling party senator 	GOV	
secretariate 	GOV	
secretary of agriculture 	GOV	AGR
secretary of civil 	GOV	
secretary of commerce 	GOV	
secretary of defense 	GOV	MIL
secretary of education 	GOV	EDU
secretary of energy 	GOV	
secretary of labor 	GOV	LAB
secretary of labour 	GOV	LAB
secretary of security council 	GOV	
secretary of state 	GOV	
secretary of the economy 	GOV	
secretary of the interior 	GOV	
secretary of the treasury 	GOV	
securities and exchange commission 	GOV	BUS
security council 	GOV	
semi-official	GOV	
sole political party 	GOV	
solicitor general 	GOV	
sovereign 	GOV	
space agency 	GOV	
special commission 	GOV	
special envoy 	GOV	
state-owned 	GOV	BUS
state-owned media 	GOV	MED
state-owned news agency 	GOV	MED
state-owned television 	GOV	MED
state attorney general 	GOV	
state auditor general 	GOV	
state commission 	GOV	
state councilor 	GOV	
state council for law and order 	GOV	
state council secretary general for law and order 	GOV	
state development council 	GOV	DEV
state general hospital 	GOV	HLH
state governor 	GOV	
state hospital 	GOV	HLH
state leader 	GOV	
state media 	GOV	MED
state news agency 	GOV	MED
state official 	GOV	
state owned enterprise 	GOV	BUS
state owned industrial unit 	GOV	BUS
state owned insurance enterprise 	GOV	BUS
state prosecutor general 	GOV	JUD
state run television 	GOV	MED
state run media 	GOV	MED
state run tv 	GOV	MED
state secretary 	GOV	
state security council 	GOV	
subdistrict leader 	GOV	
sub-district leader 	GOV	
supreme leader 	GOV	
telecommunication board 	GOV	MED
the pm 	GOV	
throne council 	GOV	
tourism department 	GOV	
tourist board 	GOV	
trade delegation 	GOV	BUS
trade official 	GOV	BUS
transport authority 	GOV	
treasury chief 	GOV	
treasury secretary 	GOV	
tyrant 	GOV	
undersecretary 	GOV	
vice foreign minister 	GOV	
hindu 	HIN	
hindu clergy 	HIN	
hindu hardliner 	HIN	RAD
hindu missionary 	HIN	
hindu monastary 	HIN	
hindu monk 	HIN	
hindu pilgrim 	HIN	
hindu priest 	HIN	
kanidurgu 	HIN	
sadhu  	HIN	
center for human rights  	HRI	
centre for human rights  	HRI	
rights activist 	HRI	
rights group 	HRI	
human rights group 	HRI	
human rights leader 	HRI	
human rights society 	HRI	
media rights group 	HRI	
anaesthesiologist 	HLH	
anesthetist 	HLH	
cardiologist 	HLH	
caregiver 	HLH	
caseworker 	HLH	
dentist 	HLH	
doc  	HLH	
doctor 	HLH	
foster-nurse 	HLH	
gastroenterologist 	HLH	
general practitioner 	HLH	
graduate nurse 	HLH	
gynecologist 	HLH	
healthcare facilitiy 	HLH	
health care provider 	HLH	
health facility 	HLH	
health professional 	HLH	
hospital 	HLH	
house physician 	HLH	
infirmary 	HLH	
internist 	HLH	
medic 	HLH	
medical association 	HLH	
medical building 	HLH	
medical institution 	HLH	
medical personnel 	HLH	
medical practitioner 	HLH	
medical social worker 	HLH	
medical specialist 	HLH	
medico 	HLH	
mental institution 	HLH	
midwife  	HLH	
nanny 	HLH	
neurologist 	HLH	
neurosurgeon 	HLH	
nurse 	HLH	
nursemaid 	HLH	
nurse anesthetist 	HLH	
nurse practitioner 	HLH	
oncologist 	HLH	
operating surgeon 	HLH	
opthamologist 	HLH	
orthopedic surgeon 	HLH	
orthopedist 	HLH	
pediatrician 	HLH	
pharmaceutical firm 	HLH	
physician 	HLH	
podiatrist 	HLH	
primary health provider 	HLH	
psychiatrist 	HLH	
registered nurse 	HLH	
resident physician 	HLH	
sanatarium 	HLH	
sanatorium 	HLH	
sanitarium 	HLH	
social worker 	HLH	
surgeon 	HLH	
tinginist 	HLH	
trained nurse 	HLH	
urologist 	HLH	
welfare worker 	HLH	
communist rebel 	REB	
coup d'etat leader 	REB	
coup leader 	REB	
coup maker 	REB	
coup plotter 	REB	
international terrorist 	IMG	
military coup d'etat leader 	MIL	
military coup leader 	MIL	
cantor 	JEW	
hasid 	JEW	
hasidim 	JEW	
hebrew  	JEW	
jew 	JEW	
jewish 	JEW	
orthodox jew 	JEW	
rabbi 	JEW	
torah scholar 	JEW	
adjudication court 	JUD	
advocate 	JUD	
anti graft court 	JUD	
anti terrorism court 	JUD	
anti terror court 	JUD	
appeals court 	JUD	
appellate court 	JUD	
associate justice 	JUD	
attorney 	JUD	
attorney-general 	JUD	
barrister 	JUD	
chancery 	JUD	
chief court judge 	JUD	
chief justice 	JUD	
chief justice of the supreme court  	JUD	
circuit court of appeals  	JUD	
civil courts 	JUD	
consistory 	JUD	
constitutional council 	JUD	
constitutional court 	JUD	
conveyancer 	JUD	
council of judges  	JUD	
counsellor-at-law 	JUD	
counsellor 	JUD	
counselor 	JUD	
counsel 	JUD	
court judge 	JUD	
court justice 	JUD	
court official 	JUD	
court of appeals  	JUD	
court of chancery 	JUD	
court supreme 	JUD	
the court 	JUD	
criminal barrister 	JUD	
defense attorney 	JUD	
defense lawyer 	JUD	
district court 	JUD	
federal court 	JUD	
federal judge 	JUD	
federal judiciary 	JUD	
federal supreme court 	JUD	
high court 	JUD	
judge 	JUD	
judicatory 	JUD	
judicature 	JUD	
judicial branch 	JUD	
judicial system 	JUD	
judiciary 	JUD	
justice of the peace  	JUD	
justice system 	JUD	
lawyer 	JUD	
magistrate 	JUD	
municipal court 	JUD	
national court 	JUD	
pleader 	JUD	
procuratorate 	JUD	
prosecuting attorney 	JUD	
prosecuting officer 	JUD	
prosecutor 	JUD	
public defender 	JUD	
public prosecutor 	JUD	
religious court 	JUD	REL
royal court 	JUD	
shariah court 	JUD	MUS
sharia court 	JUD	MUS
special court 	JUD	
state supreme court 	JUD	
stipendiary 	JUD	
stipendiary magistrate 	JUD	
superior court 	JUD	
supreme court 	JUD	
supreme people _court  	JUD	
trial attorney 	JUD	
trial lawyer 	JUD	
tribunal 	JUD	
court 	JUD	
company union 	LAB	
employee 	LAB	
laborer 	LAB	
labor union 	LAB	
labour activist 	LAB	
organized labor 	LAB	
staff member 	LAB	
striking worker 	LAB	
trades union 	LAB	
