term	cat	cat2
trade union 	LAB	
transportation worker 	LAB	
transport worker 	LAB	
union representative 	LAB	
worker 	LAB	
workers'_action council 	LAB	
workers'_federation 	LAB	
workers action council 	LAB	
workers federation 	LAB	
workers organization 	LAB	
worker organization 	LAB	
assemblage 	LEG	
assemblies 	LEG	
assembly federale 	LEG	
chamber 	LEG	
chamber of deputies 	LEG	
congress 	LEG	
conservative coalition 	LEG	
council of the union 	LEG	
delegate 	LEG	
delegation of the senate 	LEG	
elected bodies 	LEG	
federal executive council 	LEG	
federal legislative council 	LEG	
federal national council 	LEG	
federation council 	LEG	
general assembly 	LEG	
house of assembly 	LEG	
house of commons 	LEG	
house of councillors 	LEG	
house of representatives  	LEG	
house speaker 	LEG	
lawgiver 	LEG	
lawmaker 	LEG	
leader of parliament 	LEG	
left wing coalition 	LEG	
legislative assembly 	LEG	
legislative body 	LEG	
legislative chamber 	LEG	
legislative council 	LEG	
legislator 	LEG	
legislature 	LEG	
lower house of parliament 	LEG	
majority party 	LEG	
member of parliament  	LEG	
member of congress   	LEG	
member of the senate   	LEG	
member of the legislature    	LEG	
mp 	LEG	
national assembly 	LEG	
national council 	LEG	
parliamentarian 	LEG	
parliament 	LEG	
parliament house 	LEG	
people's assembly 	LEG	
president of the senate 	LEG	
promulgator 	LEG	
representative's council 	LEG	
representatives 	LEG	
representative assembly 	LEG	
right wing coalition 	LEG	
senate 	LEG	
senate delegation 	LEG	
senate of the republic 	LEG	
senate president 	LEG	
senator 	LEG	
speaker of legislature  	LEG	
speaker of parliament  	LEG	
speaker of the house  	LEG	
state assembly 	LEG	
state duma 	LEG	
upper house 	LEG	
blogger 	MED	
blog 	MED	
broadcasting company 	MED	
broadcasting corp 	MED	
chief editor 	MED	
columnist 	MED	
commentator 	MED	
communications org  	MED	
correspondent 	MED	
editorialist 	MED	
editor in chief  	MED	
editor of newspaper 	MED	
filmaker 	MED	
foreign correspondent 	MED	
gazette 	MED	
internet site 	MED	
journalist 	MED	
leading news  	MED	
local media  	MED	
local press  	MED	
magazine 	MED	
magazine editor 	MED	
managing editor 	MED	
media 	MED	
national press 	MED	
newspaper 	MED	
newspaper chief editor 	MED	
newspaper editor 	MED	
newspaper publisher 	MED	
newswriter 	MED	
news agency 	MED	
news editor 	MED	
news magazine 	MED	
news organisation 	MED	
news organization 	MED	
news outlet 	MED	
news station 	MED	
press agency 	MED	
press association 	MED	
press photographer 	MED	
publication 	MED	
public radio  	MED	
public television 	MED	
publisher 	MED	
publishing company 	MED	
publishing firm 	MED	
publishing house 	MED	
pulp magazine 	MED	
radio station 	MED	
reporter 	MED	
tabloid 	MED	
telecom consultant 	MED	
telecom firm 	MED	
telecom 	MED	
television 	MED	
tv 	MED	
war correspondent 	MED	
website 	MED	
web site 	MED	
wire service 	MED	
writer 	MED	
1st lt. 	MIL	
a-37b dragonfly 	MIL	
adm.  	MIL	
admiral 	MIL	
ah-64d apache 	MIL	
ah-64 apache 	MIL	
aide de camp 	MIL	
aircraft carrier 	MIL	
airman  	MIL	
air force 	MIL	
air force chief 	MIL	
air force commander in chief 	MIL	
air marshal 	MIL	
air unit 	MIL	
antiaircraft missile 	MIL	
antiship missile 	MIL	
apache attack helicopter 	MIL	
apache gunship 	MIL	
armed forces 	MIL	
armed patrols 	MIL	
armed troops 	MIL	
army 	MIL	
army chief 	MIL	
army chief of staff 	MIL	GOV
army general chief of staff 	MIL	GOV
army intelligence 	MIL	SPY
army lt. 	MIL	
army medical squad 	MIL	HLH
army national guard 	MIL	
army officer 	MIL	
army patrol 	MIL	
army rangers 	MIL	
army reserve 	MIL	
army staff 	MIL	
army unit 	MIL	
army vice chief of staff 	MIL	
artillery 	MIL	
artillery system 	MIL	
attack craft 	MIL	
attack helicopter 	MIL	
attack helicopters 	MIL	
b-52 	MIL	
barracks 	MIL	
battalion 	MIL	
battalion commander 	MIL	
battleship 	MIL	
battlewagon 	MIL	
battle group 	MIL	
battle tank 	MIL	
bomber 	MIL	
border guard 	MIL	
border security 	MIL	
brig._gen. 	MIL	
brig._general 	MIL	
brigade commander 	MIL	
brigadier general 	MIL	
brigaider 	MIL	
capital ship 	MIL	
capt. 	MIL	
captain 	MIL	
carrier 	MIL	
ch-47f chinook 	MIL	
chief's office 	MIL	
chief of staff of the army 	MIL	GOV
chief of the air force 	MIL	GOV
chief of the army 	MIL	
cmdr. 	MIL	
coast guard 	MIL	
coast guard patrols 	MIL	
col. 	MIL	
colonel 	MIL	
combat aircraft 	MIL	
combat helicopter 	MIL	
combat jet 	MIL	
combat planes 	MIL	
combat ship 	MIL	
combat trainer 	MIL	
combat troops 	MIL	
commandant 	MIL	
commander 	MIL	
commander in chief of the air force 	MIL	
commander in chief of the army 	MIL	
commander in chief of the navy 	MIL	
commanding general 	MIL	
commanding officer 	MIL	
commando 	MIL	
control forces 	MIL	
corporal 	MIL	
corvette 	MIL	
cruiser 	MIL	
cruise missile 	MIL	
c in cof 	MIL	
c in c of 	MIL	
defense force 	MIL	
defense service 	MIL	
defense services intelligence 	MIL	SPY
destroyer 	MIL	
drone aircraft 	MIL	
echelon 	MIL	
ens. 	MIL	
ensign 	MIL	
eurofighter typhoon 	MIL	
f-16 	MIL	
f-16 jet 	MIL	
f-22a raptor 	MIL	
f-22 raptor 	MIL	
f-7mg 	MIL	
f/a-18 	MIL	
f/a-18e/f super hornet 	MIL	
f/a-18 fighter 	MIL	
f/a-18 fighter jet 	MIL	
f/a-22 fighter 	MIL	
f/a-22 raptor 	MIL	
field marshal 	MIL	
fighter aircraft 	MIL	
fighter bomber 	MIL	
fighter bombers 	MIL	
fighter jet 	MIL	
fighter plane 	MIL	
fighting falcon 	MIL	
fighting position 	MIL	
first lieutenant 	MIL	
first lt. 	MIL	
flag officer 	MIL	
frigate 	MIL	
fuerzas especiales 	MIL	
f 16 	MIL	
f 16 jet 	MIL	
garrison 	MIL	
gen. 	MIL	
gendarmerie nationale 	MIL	
gendermarie 	MIL	
generalissimo 	MIL	
generals 	MIL	
general of the army 	MIL	
government forces 	MIL	
government regiment 	MIL	
government soldier 	MIL	
government troops 	MIL	
government troops and police  	MIL	
ground forces 	MIL	
ground troop 	MIL	
guard command 	MIL	
guard ship 	MIL	
harrier jet 	MIL	
heavy machine gun 	MIL	
helicopter gunship 	MIL	
hmmwv 	MIL	
home reserve 	MIL	
humvee 	MIL	
infantry 	MIL	
jetfighter 	MIL	
jet fighter 	MIL	
joint chiefs 	MIL	
joint chiefs of staff 	MIL	
joint strike fighter 	MIL	
junior officer 	MIL	
junta forces 	MIL	
junta soldier 	MIL	
junta troop 	MIL	
junta troops  	MIL	
kfir 	MIL	
landing ship 	MIL	
land force 	MIL	
lieutenant 	MIL	
lieutenant colonel 	MIL	
lieutenant general 	MIL	
lieutenant jg 	MIL	
lieutenant junior grade 	MIL	
lieutentant_(jg)  	MIL	
light colonel 	MIL	
lt. 	MIL	
lt._jg 	MIL	
maj. 	MIL	
major general 	MIL	
marines 	MIL	
marine corp 	MIL	
marine corps gunnery sergeant 	MIL	
master sergeant 	MIL	
mi-24vm/hind 	MIL	
mig 	MIL	
mig-21pfm 	MIL	
military 	MIL	
military adviser 	MIL	
military advisor 	MIL	
military aircraft 	MIL	
military authorities 	MIL	
military authority 	MIL	
military base 	MIL	
military clique 	MIL	
military commission 	MIL	
military delegation 	MIL	
military force 	MIL	
military group 	MIL	
military intelligence 	MIL	SPY
military intelligence agency 	MIL	SPY
military intelligence apparatus 	MIL	SPY
military intelligence secret police  	MIL	SPY
military judge 	MIL	JUD
military justice 	MIL	JUD
military led 	MIL	
military machine 	MIL	
military officer 	MIL	
military official 	MIL	
military operations control command 	MIL	
military patrol 	MIL	
military personnel 	MIL	
military police  	MIL	COP
military presence 	MIL	
military representative 	MIL	
military reserve 	MIL	
military support personnel 	MIL	
military transport plane 	MIL	
military tribunal 	MIL	JUD
mirage-2000 	MIL	
mortar position 	MIL	
mq-9 reaper 	MIL	
national army detachment 	MIL	
national army task force 	MIL	
national gendarmerie 	MIL	
national guard 	MIL	
naval 	MIL	
naval base 	MIL	
naval destroyer 	MIL	
naval officer 	MIL	
naval ship 	MIL	
naval unit 	MIL	
navy 	MIL	
nighthawk stealth fighter 	MIL	
officer in command  	MIL	
office of the air force commander in chief 	MIL	
p-3a orion 	MIL	
p-8a poseidon 	MIL	
paramilitary 	MIL	
paramilitary force 	MIL	
paramilitary organisation 	MIL	
paramilitary organization 	MIL	
paramilitary police  	MIL	GOV
paramilitary unit 	MIL	
paratroops 	MIL	
phalanx 	MIL	
pilotless plane 	MIL	
predator drone 	MIL	
predator uav 	MIL	
prisoner of war  	MIL	
privateer 	MIL	
reaper drone 	MIL	
regiment 	MIL	
remotely piloted aircraft 	MIL	
remotely piloted drones 	MIL	
reserve officer 	MIL	
reservist 	MIL	
rf 4c 	MIL	
scud missile 	MIL	
seaman  	MIL	
second lieutenant 	MIL	
security force 	MIL	
security patrol 	MIL	
security personnel 	MIL	
shore patrol 	MIL	COP
soldier 	MIL	
soldiers,_along with their families  	MIL	
soldiers and their families  	MIL	
soldiers with their families  	MIL	
soldiery 	MIL	
special battalion 	MIL	
special force 	MIL	
special operations 	MIL	
spy plane 	MIL	SPY
standing army 	MIL	
stealth bomber 	MIL	
stealth fighter 	MIL	
strategic service 	MIL	
su-24 	MIL	
su-30mk 	MIL	
sublieutenant 	MIL	
submersible warship 	MIL	
sukhoi pak fa 	MIL	
super hornet 	MIL	
tactical unit 	MIL	
tactical vehicle 	MIL	
tomahawk cruise missile 	MIL	
tomahawk missile 	MIL	
tomcat fighter 	MIL	
torpedo boat 	MIL	
troop 	MIL	
unmanned aerial drone 	MIL	
unmanned aerial system 	MIL	
unmanned aerial vehicle 	MIL	
unmanned aircraft 	MIL	
unmanned drone 	MIL	
unmanned predator 	MIL	
v-22 osprey 	MIL	
warplane 	MIL	
warship 	MIL	
war machine 	MIL	
war vessel 	MIL	
weapons storage facility 	MIL	
weekend warrior 	MIL	
extremist wahhabi 	MUS	RAD
fundamentalist muslims 	MUS	RAD
hardline islamic 	MUS	
imam 	MUS	
islamic 	MUS	
islamic cleric 	MUS	
islamic council 	MUS	
islamic extremist group 	MUS	RAD
islamic front_  	MUS	REB
islamic fundamentalist 	MUS	
islamic militant 	MUS	UAF
islamic missionary 	MUS	
islamic preacher 	MUS	
islamist 	MUS	
islamist cleric 	MUS	
islamist group 	MUS	
islamist missionary 	MUS	
moslem 	MUS	
moslem cleric 	MUS	
moslem settler 	MUS	
mullah 	MUS	
muslim 	MUS	
muslim cleric 	MUS	
muslim doctor 	MUS	HLH
muslim extremist 	MUS	RAD
muslim hospital 	MUS	HLH
muslim migrant 	MUS	
muslim militant 	MUS	UAF
muslim missionary 	MUS	
muslim pilgrim 	MUS	
muslim radical 	MUS	RAD
radical islamists 	MUS	RAD
radical salafi 	MUS	RAD
salafi jihadist 	MUS	RAD
aid group 	NGO	DEV
civil society 	NGO	
ngo 	NGO	 
nongovernmenal organization 	NGO	
non governmental organization 	NGO	
non-governmental organization 	NGO	
nongovernmenal organisation 	NGO	
non governmental organisation 	NGO	
non-governmental organisation 	NGO	
activist 	OPP	
agitated students 	OPP	EDU
anti government activist 	OPP	
anti government organization 	OPP	
anti government political activist 	OPP	
anti government student 	OPP	EDU
anti government underground group 	OPP	
anti government youth 	OPP	EDU
anti military activist 	OPP	
army deserter 	OPP	
campaigner  	OPP	
coalition of minority parties 	OPP	
coalition of opposition parties 	OPP	
crusader 	OPP	
cyberdissidents 	OPP	
defector 	OPP	
democracy activist 	OPP	
democratic opposition leader 	OPP	
demonstrator 	OPP	
deserter 	OPP	
detainee 	OPP	
dissenter 	OPP	
dissident 	OPP	
dissident student 	OPP	EDU
electoral alliance 	OPP	
ethnic minority parties 	OPP	
exile 	OPP	
exiled government 	OPP	
exiled leader 	OPP	
exiled opposition 	OPP	
exiled opposition politician 	OPP	
exiled politician 	OPP	
exiled prime minister 	OPP	
exiled regime 	OPP	
government defector 	OPP	
government in exile 	OPP	
human rights activist 	OPP	
illegal movement 	OPP	
illegal party 	OPP	
leader in exile 	OPP	
main opposition 	OPP	
mass opposition 	OPP	CVL
military defector 	OPP	
military deserter 	OPP	
mp of the opposition 	OPP	
mutineer 	OPP	
national traitor 	OPP	
navy deserter 	OPP	
objector 	OPP	
opposition activist 	OPP	
opposition alliance 	OPP	
opposition coalition 	OPP	
opposition daily 	OPP	MED
opposition demonstrator 	OPP	
opposition editor 	OPP	MED
opposition faction 	OPP	
opposition forces  	OPP	UAF
opposition journalist 	OPP	MED
opposition leader 	OPP	
opposition mp 	OPP	
opposition mps 	OPP	
opposition newspaper 	OPP	MED
opposition parliament 	OPP	
opposition parties 	OPP	
opposition party 	OPP	
opposition party demonstrator 	OPP	
opposition political party 	OPP	
opposition publisher 	OPP	MED
opposition reporter 	OPP	MED
opposition senator 	OPP	
opposition student leader 	OPP	EDU
opposition supporter 	OPP	
ousted foreign minister 	OPP	
ousted leader 	OPP	
ousted premier 	OPP	
ousted prime minister 	OPP	
outlawed parties 	OPP	
outlawed party 	OPP	
parallel government 	OPP	
picketer 	OPP	
political alliance 	OPP	
political detainee 	OPP	
political party in exile 	OPP	
political prisoner 	OPP	
political wing 	OPP	
prime minister in exile 	OPP	
pro-democracy group 	OPP	DEV
pro-democracy leader 	OPP	
pro-democracy movement 	OPP	
pro-democracy political activist 	OPP	
pro-democratic leader 	OPP	
protester 	OPP	
protesting student 	OPP	EDU
protesting worker 	OPP	LAB
protest group 	OPP	
protest leader 	OPP	
pro democracy group 	OPP	DEV
pro democracy leader 	OPP	
pro democracy movement 	OPP	
pro democracy political activist 	OPP	
pro democratic leader 	OPP	
recreant 	OPP	
reformer 	OPP	
reformist 	OPP	
resistance movement 	OPP	
rioter 	OPP	
social reformer 	OPP	
spokesman for the opposition 	OPP	
strike activist 	OPP	LAB
striking nurse 	OPP	HLH
student demonstrator 	OPP	EDU
student dissident 	OPP	EDU
student opposition 	OPP	EDU
student protester 	OPP	EDU
turncoat 	OPP	
underground opposition 	OPP	
unspecified opposition 	OPP	
youth protester 	OPP	EDU
alleged militants 	REB	
anti government armed group 	REB	
anti government force 	REB	
anti government insurgent 	REB	
anti junta terrorist group 	REB	
anti-government armed group 	REB	
anti-government force 	REB	
anti-government insurgent 	REB	
anti-junta terrorist group 	REB	
armed dissident 	REB	
armed insurgency 	REB	
armed insurgent 	REB	
armed insurgent group 	REB	
armed opposition group 	REB	
armed rebel 	REB	
armed rebel group 	REB	
armed tribal rebel 	REB	
buddhist rebel 	REB	BUD
buddhist rebel group 	REB	BUD
buddhist rebel leader 	REB	BUD
christian rebel 	REB	CHR
christian rebel group 	REB	CHR
christian rebel leader 	REB	CHR
democratic party  	PTY	
dissident soldier 	REB	
enemy insurgent 	REB	
ethnic insurgency 	REB	
ethnic minority rebel 	REB	
ethnic rebel 	REB	
extemist soldier 	RAD	
extremist 	RAD	
freedom fighter 	REB	
guerilla 	REB	
guerilla army 	REB	
guerilla faction 	REB	
guerilla force 	REB	
guerilla leader  	REB	
guerrilla 	REB	
guerrilla army 	REB	
guerrilla force 	REB	
guerrilla leadership 	REB	
guerrilla leader 	REB	
hindu rebel 	REB	HIN
hindu rebel group 	REB	HIN
hindu rebel leader 	REB	HIN
insurgence 	REB	
insurgency 	REB	
insurgency leader 	REB	
insurgency movement 	REB	
insurgent 	REB	
insurgent force 	REB	
insurgent group 	REB	
insurgent leadership 	REB	
insurgent leader 	REB	
insurgent movement 	REB	
insurgent organization 	REB	
insurrectionist 	REB	
islamic rebel 	REB	MUS
islamic rebel group 	REB	MUS
islamic rebel leader 	REB	MUS
leftist party 	PTY	
looter 	REB	
low level insurgency 	REB	
militant movement 	REB	
militant wing 	REB	
moslem extremist 	REB	MUS
muslim rebel 	REB	MUS
muslim rebel group 	REB	MUS
muslim rebel leader 	REB	MUS
muslim separatist rebel 	REB	MUS
national revolutionary organization 	REB	
opposition force 	REB	
party's military wing 	REB	
party alliance 	PTY	
party leader 	PTY	
party member 	PTY	
party president 	PTY	
pillager 	REB	
plunderer 	REB	
political parties 	PTY	
political party 	PTY	
politician 	PTY	
presidential candidate 	PTY	
radical leftist group 	RAD	
raider 	REB	
reactionaries 	RAD	
rebellion 	REB	
rebel 	REB	
rebel armies 	REB	
rebel army 	REB	
rebel base 	REB	
rebel commander 	REB	
rebel commando 	REB	
rebel delegation 	REB	
rebel force 	REB	
rebel group 	REB	
rebel insurgent 	REB	
rebel leader 	REB	
rebel soldier 	REB	
rebel source 	REB	
rebel student 	REB	EDU
resistance army 	REB	
resistance commander 	REB	
resistance group 	REB	
resistance leader 	REB	
revolt 	REB	
revolutionary front_  	REB	
revolutionary movement_  	REB	
shia militia 	REB	MUS
shi'a militia 	REB	MUS
shiite militia 	REB	MUS
shi'ite militia 	REB	MUS
sunni insurgent 	REB	MUS
sunni 	MUS	
student army 	REB	
suicide bomber 	REB	
terrorist insurgent 	REB	
terrorist insurgent group 	REB	
terrorist insurgent organization 	REB	
top left leader 	PTY	
top right leader 	PTY	
tribal insurgent 	REB	
tribal rebel 	REB	
underground army 	REB	
underground force 	REB	
underground rebel 	REB	
underground resistance 	REB	
uprising 	REB	
urban guerilla 	REB	
asylum seeker 	REF	
boat people 	REF	
displaced family 	REF	
displaced people  	REF	
displaced person 	REF	
displaced resident 	REF	
expatriate 	REF	
indigenous refugee 	REF	
refugee returnee 	REF	
refugee 	REF	
returnee 	REF	
stateless person 	REF	
abbot  	REL	
believer 	REL	
clergy 	REL	
cleric 	REL	
holy person 	REL	
leading religious authority 	REL	
mendicant 	REL	
militant monk 	REL	UAF
militant priest 	REL	UAF
missionary 	REL	
monastery 	REL	
monk 	REL	
pilgrim 	REL	
preacher 	REL	
priest 	REL	
religion  	REL	
religious group 	REL	
religious organization 	REL	
religious person 	REL	
religious leader 	REL	
worshiper 	REL	
worshipper 	REL	
armed separatist 	REB	
armed separatist movement 	REB	
army for the liberation_  	REB	
ethnic separatists 	REB	 
front for the liberation_  	REB	
liberation army_  	REB	
liberation forces_  	REB	
liberation front_  	REB	
liberation movement  	OPP	
popular movement for the liberation_  	REB	
pro independence activist 	OPP	 
rebel separatist 	REB	
separatist 	REB	
separatist group 	REB	
separatist guerrilla 	REB	
separatist leader 	REB	
separatist militant 	REB	
separatist movement 	REB	
separatist rebel 	REB	
settler 	CVL	
central intelligence bureau 	SPY	
chief of intelligence 	SPY	
covert operative 	SPY	
foreign intelligence service 	SPY	
intelligence  	SPY	
intelligence activity 	SPY	
intelligence agent 	SPY	
intelligence apparatus 	SPY	
intelligence bureau 	SPY	
intelligence chief 	SPY	
intelligence community 	SPY	
intelligence information 	SPY	
intelligence officer 	SPY	
intelligence operation 	SPY	
intelligence service 	SPY	
inter service intelligence 	SPY	
muhabarat_ 	SPY	
mukabarat_ 	SPY	
mukhabarat_ 	SPY	
national intelligence bureau 	SPY	
national security service 	SPY	
operative 	SPY	
secret agent 	SPY	
secret police  	SPY	
senior intelligence officer 	SPY	
spy 	SPY	
spy agency 	SPY	
spy ship 	SPY	
undercover agent 	SPY	
armed band 	UAF	
armed citizens 	UAF	
armed force  	UAF	
armed gang 	UAF	
armed group 	UAF	
armed men 	UAF	
armed professional 	UAF	
assailant 	UAF	
combatant 	UAF	
death squad 	UAF	
enemy combatant 	UAF	
fighter 	UAF	
foreign terrorist organization 	UAF	
gunman  	UAF	
gunmen 	UAF	
gunslinger 	UAF	
gun for hire 	UAF	
hired gun 	UAF	
hitman  	UAF	
hit man  	UAF	
hit squad 	UAF	
infiltration unit 	UAF	
janjaweed 	UAF	
jihadist 	UAF	MUS
jihadists 	UAF	MUS
marauder 	UAF	
mercenary 	UAF	
militant 	UAF	
military wing 	UAF	
militia 	UAF	
militiaman 	UAF	
militiamen 	UAF	
militant 	UAF	
moslem militant 	UAF	MUS
muslim militant 	UAF	MUS
murderous extremist 	UAF	RAD
private army 	UAF	
private security force 	UAF	
self defense force 	UAF	
self-dfense force 	UAF	
self-defence force 	UAF	
self defence force 	UAF	
self-defense milita 	UAF	
self defense militia 	UAF	
soldier of fortune 	UAF	
terrorist 	UAF	
terrorist group 	UAF	
terrorist group leader 	UAF	
terrorist leader 	UAF	
terrorist organization 	UAF	
triggerman  	UAF	
unidentified gunman  	REB	
unidentified forces 	UAF	
violent group 	UAF	
observers in 	IGO	
peacekeeping troops  	IGO	
truce monitor 	IGO	
cattleman 	AGR	
cattlemen 	AGR	
cattlewoman 	AGR	
cattlewomen 	AGR	
cattleperson 	AGR	
dairyman 	AGR	
dairymen 	AGR	
dairywoman 	AGR	
dairywomen 	AGR	
dairyperson 	AGR	
fisherman 	AGR	
fishermen 	AGR	
fisherwoman 	AGR	
fisherwomen 	AGR	
fisherperson 	AGR	
herdsman 	AGR	
herdsmen 	AGR	
herdswoman 	AGR	
herdswomen 	AGR	
herdsperson 	AGR	
husbandman	AGR	
husbandmen	AGR	
husbandwoman	AGR	
husbandwomen	AGR	
husbandperson	AGR	
buddhist clergyman  	BUD	
buddhist clergymen  	BUD	
buddhist clergywoman  	BUD	
buddhist clergywomen  	BUD	
buddhist clergyperson  	BUD	
businessman 	BUS	
businessmen 	BUS	
businesswoman 	BUS	
businesswomen 	BUS	
businessperson 	BUS	
christian clergyman 	CHR	
christian clergymen 	CHR	
christian clergywoman 	CHR	
christian clergywomen 	CHR	
christian clergyperson 	CHR	
policeman  	COP	
policemen  	COP	
policewoman  	COP	
policewomen  	COP	
policeperson  	COP	
fireman  	GOV	
firemen  	GOV	
firewoman  	GOV	
firewomen  	GOV	
fireperson  	GOV	
foreign minister 	GOV	
foreign ministers 	GOV	
foreign ministry 	GOV	
foreign ministries 	GOV	
government spokesman 	GOV	
government spokesmen 	GOV	
government spokeswoman 	GOV	
government spokeswomen 	GOV	
government spokesperson 	GOV	
home minister 	GOV	
home ministers 	GOV	
home ministry 	GOV	
home ministries 	GOV	
housing and public works minister 	GOV	
housing and public works ministers 	GOV	
housing and public works ministry 	GOV	
housing and public works ministries 	GOV	
immigration minister 	GOV	
immigration ministers 	GOV	
immigration ministry 	GOV	
immigration ministries 	GOV	
industries minister 	GOV	BUS
industries ministers 	GOV	BUS
industries ministry 	GOV	BUS
industries ministries 	GOV	BUS
industry minister 	GOV	BUS
industry ministers 	GOV	BUS
industry ministry 	GOV	BUS
industry ministries 	GOV	BUS
information and culture minister 	GOV	MED
information and culture ministers 	GOV	MED
information and culture ministry 	GOV	MED
information and culture ministries 	GOV	MED
information minister 	GOV	MED
information ministers 	GOV	MED
information ministry 	GOV	MED
information ministries 	GOV	MED
interior minister 	GOV	
interior ministers 	GOV	
interior ministry 	GOV	
interior ministries 	GOV	
irrigation minister 	GOV	AGR
irrigation ministers 	GOV	AGR
irrigation ministry 	GOV	AGR
irrigation ministries 	GOV	AGR
justice minister 	GOV	
justice ministers 	GOV	
justice ministry 	GOV	
justice ministries 	GOV	
jute and textiles minister 	GOV	
jute and textiles ministers 	GOV	
jute and textiles ministry 	GOV	
jute and textiles ministries 	GOV	
labor and employment minister 	GOV	LAB
labor and employment ministers 	GOV	LAB
labor and employment ministry 	GOV	LAB
labor and employment ministries 	GOV	LAB
labor minister 	GOV	LAB
labor ministers 	GOV	LAB
labor ministry 	GOV	LAB
labor ministries 	GOV	LAB
labour minister 	GOV	LAB
labour ministers 	GOV	LAB
labour ministry 	GOV	LAB
labour ministries 	GOV	LAB
law justice and parlaimentary affairs minister 	GOV	
law justice and parlaimentary affairs ministers 	GOV	
law justice and parlaimentary affairs ministry 	GOV	
law justice and parlaimentary affairs ministries 	GOV	
law minister 	GOV	
law ministers 	GOV	
law ministry 	GOV	
law ministries 	GOV	
livestock breeding and fishery minister 	GOV	AGR
livestock breeding and fishery ministers 	GOV	AGR
livestock breeding and fishery ministry 	GOV	AGR
livestock breeding and fishery ministries 	GOV	AGR
local government,_rural development and cooperatives minister 	GOV	DEV
local government,_rural development and cooperatives ministers 	GOV	DEV
local government,_rural development and cooperatives ministry 	GOV	DEV
local government,_rural development and cooperatives ministries 	GOV	DEV
