term	cat
ansar allahs	NAMED TERROR GROUP
ansar al qaeda europe	NAMED TERROR GROUP
ansar al qaeda europes	NAMED TERROR GROUP
ansar al sharia	NAMED TERROR GROUP
ansar al sunnah army	NAMED TERROR GROUP
ansar dine	NAMED TERROR GROUP
ansaru	NAMED TERROR GROUP
anti american arab liberation front	NAMED TERROR GROUP
anti armenian organization	NAMED TERROR GROUP
anti capitalist attack nuclei	NAMED TERROR GROUP
anti imperialist cell	NAMED TERROR GROUP
anti imperialist international brigade	NAMED TERROR GROUP
anti imperialist territorial nuclei	NAMED TERROR GROUP
anti terrorist liberation group	NAMED TERROR GROUP
anti zionist movement	NAMED TERROR GROUP
apo's revenge hawks	NAMED TERROR GROUP
apo'nun intikam sahinler	NAMED TERROR GROUP
apo's youth revenge brigade	NAMED TERROR GROUP
april 19 movement	NAMED TERROR GROUP
arab communist organization	NAMED TERROR GROUP
arab communist revolutionary party	NAMED TERROR GROUP
arab liberation front	NAMED TERROR GROUP
arab national youth organization	NAMED TERROR GROUP
arab revolutionary brigade	NAMED TERROR GROUP
arab revolutionary council	NAMED TERROR GROUP
armata corsa	NAMED TERROR GROUP
armata di liberazione naziunale	NAMED TERROR GROUP
armed berber group	NAMED TERROR GROUP
armed communist combatants	NAMED TERROR GROUP
armed communist league	NAMED TERROR GROUP
armed forces of national liberation	NAMED TERROR GROUP
armed forces of national resistance	NAMED TERROR GROUP
armed islamic group	NAMED TERROR GROUP
armed islamic group of algeria	NAMED TERROR GROUP
armed islamic groups	NAMED TERROR GROUP
armed nationalist revolutionary faction	NAMED TERROR GROUP
armed revolutionary action	NAMED TERROR GROUP
armed revolutionary left	NAMED TERROR GROUP
armee islamique du salut	NAMED TERROR GROUP
armenian red army	NAMED TERROR GROUP
armenian red armys	NAMED TERROR GROUP
armenian resistance group	NAMED TERROR GROUP
armenian revolutionary army	NAMED TERROR GROUP
army of god	NAMED TERROR GROUP
army of islam	NAMED TERROR GROUP
army of islamic salvation	NAMED TERROR GROUP
army of jhangvi	NAMED TERROR GROUP
army of mohammed	NAMED TERROR GROUP
army of muhammed	NAMED TERROR GROUP
army of national liberation	NAMED TERROR GROUP
army of the levant	NAMED TERROR GROUP
army of the prophet	NAMED TERROR GROUP
army of the pure	NAMED TERROR GROUP
army of the righteous	NAMED TERROR GROUP
arnoldo camu command	NAMED TERROR GROUP
arsonists of conscience	NAMED TERROR GROUP
aryan nation	NAMED TERROR GROUP
aryan republican army	NAMED TERROR GROUP
aryan resistance army	NAMED TERROR GROUP
asaib ahl al haq	NAMED TERROR GROUP
asbat al ansar	NAMED TERROR GROUP
association for solidarity perspectives	NAMED TERROR GROUP
association of revolutionary workers	NAMED TERROR GROUP
august 23 movement	NAMED TERROR GROUP
aum aleph	NAMED TERROR GROUP
aum supreme truth	NAMED TERROR GROUP
aum shinrikyo	NAMED TERROR GROUP
aum shinsen	NAMED TERROR GROUP
aum shinri kyo	NAMED TERROR GROUP
autonomia sinistra ante parlamentare	NAMED TERROR GROUP
autonomous cell of rebel action	NAMED TERROR GROUP
azad hind sena	NAMED TERROR GROUP
baader meinhof gang	NAMED TERROR GROUP
baader meinhof group	NAMED TERROR GROUP
babbar khalsa	NAMED TERROR GROUP
babbar khalsa international	NAMED TERROR GROUP
badr forces	NAMED TERROR GROUP
bagramyan battalion	NAMED TERROR GROUP
balochistan liberation army	NAMED TERROR GROUP
baloch liberation army	NAMED TERROR GROUP
baluchistan liberation army	NAMED TERROR GROUP
barisan revolusi nasional melayu pattani	NAMED TERROR GROUP
basque fatherland and freedom	NAMED TERROR GROUP
basque fatherland and liberty	NAMED TERROR GROUP
basque homeland and freedom	NAMED TERROR GROUP
bavarian liberation army	NAMED TERROR GROUP
bhutan tiger force	NAMED TERROR GROUP
biplobi communist party	NAMED TERROR GROUP
birsa commando force	NAMED TERROR GROUP
black brigade of lebanon	NAMED TERROR GROUP
black liberation army	NAMED TERROR GROUP
black panther	NAMED TERROR GROUP
black revolutionary assault team	NAMED TERROR GROUP
bodo liberation tiger force	NAMED TERROR GROUP
bodo liberation tigers	NAMED TERROR GROUP
bodo security force	NAMED TERROR GROUP
bodu bala sena	NAMED TERROR GROUP
boko haram	NAMED TERROR GROUP
boko harem	NAMED TERROR GROUP
bolivarian guerrilla movement	NAMED TERROR GROUP
bolivarian liberation force	NAMED TERROR GROUP
borok national council of tripura	NAMED TERROR GROUP
bougainville revolutionary army	NAMED TERROR GROUP
breton revolutionary army	NAMED TERROR GROUP
brigades of imam al hassan al basri	NAMED TERROR GROUP
bushnegro jungle commandos	NAMED TERROR GROUP
cambodian freedom fighters	NAMED TERROR GROUP
carapaica revolutionary group	NAMED TERROR GROUP
carapaica revolutionary movement	NAMED TERROR GROUP
catholic reaction force	NAMED TERROR GROUP
caucasus emirate	NAMED TERROR GROUP
chaotic attack front	NAMED TERROR GROUP
charles martel group	NAMED TERROR GROUP
che guevara brigade	NAMED TERROR GROUP
che guevara international brigade	NAMED TERROR GROUP
christian anti moslem organization	NAMED TERROR GROUP
christian defense league	NAMED TERROR GROUP
christian identity movement	NAMED TERROR GROUP
christian patriots defense league	NAMED TERROR GROUP
chukaku ha	NAMED TERROR GROUP
cinchonero peoples liberation movement	NAMED TERROR GROUP
cinchoneros popular liberation movement	NAMED TERROR GROUP
clandestini corsi	NAMED TERROR GROUP
combatant fighting nucleus	NAMED TERROR GROUP
combatant proletarian nucleus	NAMED TERROR GROUP
communist combatant cell	NAMED TERROR GROUP
communist combatant party	NAMED TERROR GROUP
communist league of west germany	NAMED TERROR GROUP
communist party of germany	NAMED TERROR GROUP
communist party of india	NAMED TERROR GROUP
communist party of india  janashakti	NAMED TERROR GROUP
communist party of marxist leninist	NAMED TERROR GROUP
communist party of marxists leninists	NAMED TERROR GROUP
communist party of nepal maoist	NAMED TERROR GROUP
communist party of the philippines	NAMED TERROR GROUP
communist party of turkey	NAMED TERROR GROUP
communist revolutionaries in europe	NAMED TERROR GROUP
communist worker movement	NAMED TERROR GROUP
congolese democratic coalition	NAMED TERROR GROUP
congolese rally for democracy	NAMED TERROR GROUP
conscientious arsonists	NAMED TERROR GROUP
conspiracy of fire nuclei	NAMED TERROR GROUP
continuity army council	NAMED TERROR GROUP
continuity ira	NAMED TERROR GROUP
real ira	NAMED TERROR GROUP
true ira	NAMED TERROR GROUP
continuity irish republican army	NAMED TERROR GROUP
contras	NAMED TERROR GROUP
cornish national liberation army	NAMED TERROR GROUP
corsican army	NAMED TERROR GROUP
corsican patriotic front	NAMED TERROR GROUP
corsican revolutionary armed forces	NAMED TERROR GROUP
corsican revolutionary armed front	NAMED TERROR GROUP
croatian democratic union	NAMED TERROR GROUP
croatian freedom fighters	NAMED TERROR GROUP
cuban liberator army	NAMED TERROR GROUP
cumann na mban	NAMED TERROR GROUP
cypriot nationalist organization	NAMED TERROR GROUP
dagestan liberation army	NAMED TERROR GROUP
dakshin desh	NAMED TERROR GROUP
deccan mujahedin	NAMED TERROR GROUP
december 20 movement	NAMED TERROR GROUP
december 20 torrijist patriotic vanguard	NAMED TERROR GROUP
deendar anjuman	NAMED TERROR GROUP
democratic karen buddhist army	NAMED TERROR GROUP
democratic karen buddhist association	NAMED TERROR GROUP
democratic karen buddhist organization	NAMED TERROR GROUP
democratic party of angola	NAMED TERROR GROUP
democratic peoples unions	NAMED TERROR GROUP
dukhtaran e millat	NAMED TERROR GROUP
earth liberation front	NAMED TERROR GROUP
eastern turkistan islamic movement	NAMED TERROR GROUP
eastern turkistan islamic party	NAMED TERROR GROUP
eastern turkistan liberation organization	NAMED TERROR GROUP
east turkestan information center	NAMED TERROR GROUP
east turkestan islamic movement	NAMED TERROR GROUP
east turkestan liberation organization	NAMED TERROR GROUP
east turkestan party	NAMED TERROR GROUP
east turkistan liberation organization	NAMED TERROR GROUP
ecuadorian rebel force	NAMED TERROR GROUP
egyptian islamic jihad	NAMED TERROR GROUP
ejercito del pueblo en armas	NAMED TERROR GROUP
epb movimiento popular revolucionario	NAMED TERROR GROUP
eritrean islamic jihad	NAMED TERROR GROUP
eritrean islamic jihad movement	NAMED TERROR GROUP
eritrean liberation front	NAMED TERROR GROUP
eritrean people's liberation front	NAMED TERROR GROUP
eta army	NAMED TERROR GROUP
eta bomber	NAMED TERROR GROUP
eta forces	NAMED TERROR GROUP
eta soldier	NAMED TERROR GROUP
eta terrorist	NAMED TERROR GROUP
ethiopian people's revolutionary army	NAMED TERROR GROUP
factions armees revolutionnaires libanaises	NAMED TERROR GROUP
fallujah mujahideen	NAMED TERROR GROUP
farabundo marti national liberation front	NAMED TERROR GROUP
farabundo marti popular liberation force	NAMED TERROR GROUP
farc	NAMED TERROR GROUP
fatah abu musa	NAMED TERROR GROUP
fatah revolutionary council	NAMED TERROR GROUP
fatherland and liberty nationalist front	NAMED TERROR GROUP
february 28 popular leagues	NAMED TERROR GROUP
fedayeen al islam	NAMED TERROR GROUP
fedayeen khalq	NAMED TERROR GROUP
fedayeen khalq organization	NAMED TERROR GROUP
fedayeen khalqs	NAMED TERROR GROUP
fighting guerrillas of may	NAMED TERROR GROUP
fighting islamic group	NAMED TERROR GROUP
first october anti fascist resistance group	NAMED TERROR GROUP
first october antifascist resistance group	NAMED TERROR GROUP
fourth reich skinheads	NAMED TERROR GROUP
free aceh movement	NAMED TERROR GROUP
gerakan aceh merdeka	NAMED TERROR GROUP
acheh sumatra national liberation front	NAMED TERROR GROUP
freedom german workers party	NAMED TERROR GROUP
free papua movement	NAMED TERROR GROUP
friends of freedom for germany	NAMED TERROR GROUP
front for defenders of islam	NAMED TERROR GROUP
front islamique du salut	NAMED TERROR GROUP
front of justice and revenge	NAMED TERROR GROUP
fuerzas armadas de liberation nacional	NAMED TERROR GROUP
gazteriak	NAMED TERROR GROUP
german communist party	NAMED TERROR GROUP
german comradeship league of wilhelmshaven	NAMED TERROR GROUP
german homeland association	NAMED TERROR GROUP
german people's union	NAMED TERROR GROUP
god's oppressed army	NAMED TERROR GROUP
golden dawn	NAMED TERROR GROUP
gora euskadi askatuta	NAMED TERROR GROUP
great eastern islamic raiders' front	NAMED TERROR GROUP
greek anti dictatorial youth	NAMED TERROR GROUP
greek anti regime movement laos 11	NAMED TERROR GROUP
greek bulgarian armenian front	NAMED TERROR GROUP
greek liberation army	NAMED TERROR GROUP
group of carlo giuliani	NAMED TERROR GROUP
group revolutionary reconstruction	NAMED TERROR GROUP
guadeloupe liberation army	NAMED TERROR GROUP
guardsmen of islam	NAMED TERROR GROUP
guatemalan labor party	NAMED TERROR GROUP
guatemalan national revolutionary unity	NAMED TERROR GROUP
guerrilla army of the poor	NAMED TERROR GROUP
guevarista revolutionary army	NAMED TERROR GROUP
gush emunim	NAMED TERROR GROUP
gwenn ha du	NAMED TERROR GROUP
hamas	NAMED TERROR GROUP
hamas of iraq	NAMED TERROR GROUP
hammerskin nation	NAMED TERROR GROUP
haqqani network	NAMED TERROR GROUP
harakat al jihad al islami fi filastin	NAMED TERROR GROUP
harakat al muqawammah al islammiyya	NAMED TERROR GROUP
harakat al shuhada'a al islamiyah	NAMED TERROR GROUP
harakat ul alami	NAMED TERROR GROUP
harakat ul jihad i islami	NAMED TERROR GROUP
harakat ul mujahideen	NAMED TERROR GROUP
harakat ul mujahidin	NAMED TERROR GROUP
harkat al jihad al islami in bangladesh	NAMED TERROR GROUP
harkat mujahideen	NAMED TERROR GROUP
harkat ul ansar	NAMED TERROR GROUP
harkat ul jihad al islami	NAMED TERROR GROUP
harkat ul mujahideen	NAMED TERROR GROUP
hassan al basri brigade	NAMED TERROR GROUP
hawiyah islamic force	NAMED TERROR GROUP
hawks of thrace	NAMED TERROR GROUP
hezb e islami gulbuddin	NAMED TERROR GROUP
hezbollah	NAMED TERROR GROUP
hezbollah external security organisation	NAMED TERROR GROUP
hezbollah external security organization	NAMED TERROR GROUP
hezbollah military wing	NAMED TERROR GROUP
hikmat ul jihad	NAMED TERROR GROUP
hikmat ul zihad	NAMED TERROR GROUP
hikmatul zihad	NAMED TERROR GROUP
hilafet devleti	NAMED TERROR GROUP
hindu sena rashtriya sangh party	NAMED TERROR GROUP
hizballah	NAMED TERROR GROUP
hizb an nusra	NAMED TERROR GROUP
hizb e abu omar	NAMED TERROR GROUP
hizb e islami	NAMED TERROR GROUP
hizb i islami	NAMED TERROR GROUP
hizbul i islami	NAMED TERROR GROUP
hizbul islam	NAMED TERROR GROUP
hizb ul mujahideen	NAMED TERROR GROUP
hizbul mujahideen	NAMED TERROR GROUP
hizb ul mujahidin	NAMED TERROR GROUP
hizbul qowmy al araby al jabarty	NAMED TERROR GROUP
hizb ut tahrir	NAMED TERROR GROUP
jamaat e islami	NAMED TERROR GROUP
hofstad network	NAMED TERROR GROUP
imam hussein brigade	NAMED TERROR GROUP
imperial klans of america	NAMED TERROR GROUP
independent armed revolutionary movement	NAMED TERROR GROUP
indian mujahideen	NAMED TERROR GROUP
indigenous federal state army	NAMED TERROR GROUP
indigenous people's federal army	NAMED TERROR GROUP
informal anarchist federation	NAMED TERROR GROUP
ingush jamaat	NAMED TERROR GROUP
insurgent home army	NAMED TERROR GROUP
interahamwe	NAMED TERROR GROUP
international islamic battalion	NAMED TERROR GROUP
international islamic brigade	NAMED TERROR GROUP
international islamic front	NAMED TERROR GROUP
international revolutionary action group	NAMED TERROR GROUP
international sikh youth federation	NAMED TERROR GROUP
iranian democratic party of kurdistan	NAMED TERROR GROUP
iraqi democratic front	NAMED TERROR GROUP
iraqi liberation army	NAMED TERROR GROUP
irish continuity army council	NAMED TERROR GROUP
irish national liberation army	NAMED TERROR GROUP
irish people's liberation organisation	NAMED TERROR GROUP
irish people's liberation organization	NAMED TERROR GROUP
irish republican army	NAMED TERROR GROUP
isis holistic center	NAMED TERROR GROUP
islambouli brigade of martyrs	NAMED TERROR GROUP
islamic action organization	NAMED TERROR GROUP
islamic action organisation	NAMED TERROR GROUP
islamic aden army	NAMED TERROR GROUP
islamic al waqqas brigade	NAMED TERROR GROUP
islamic army in iraq	NAMED TERROR GROUP
islamic army of aden	NAMED TERROR GROUP
islamic army of aden abyan	NAMED TERROR GROUP
islamic brotherhood	NAMED TERROR GROUP
islamic community	NAMED TERROR GROUP
islamic courts union	NAMED TERROR GROUP
islamic defenders front	NAMED TERROR GROUP
islamic defense force	NAMED TERROR GROUP
islamic freedom fighters group	NAMED TERROR GROUP
islamic front	NAMED TERROR GROUP
islamic front for armed jihad	NAMED TERROR GROUP
islamic great eastern raiders front	NAMED TERROR GROUP
islami chhatra shibir	NAMED TERROR GROUP
islamic inquilab mahaz	NAMED TERROR GROUP
islamic international peacekeeping brigade	NAMED TERROR GROUP
islamic jihad	NAMED TERROR GROUP
islamic jihad brigade	NAMED TERROR GROUP
jamaat mujahideen	NAMED TERROR GROUP
islamic jihad movement in palestine	NAMED TERROR GROUP
islamic jihad organization	NAMED TERROR GROUPislamic jihad organizations
islamic jihad union	NAMED TERROR GROUP
islamic liberation organization	NAMED TERROR GROUP
islamic martyrs movement	NAMED TERROR GROUP
islamic movement for change	NAMED TERROR GROUP
islamic movement of central asia	NAMED TERROR GROUP
islamic movement of uzbekistan	NAMED TERROR GROUP
islamic party of turkistan	NAMED TERROR GROUP
islamic renewal movement	NAMED TERROR GROUP
islamic resistance movement	NAMED TERROR GROUP
islamic salvation army	NAMED TERROR GROUP
islamic salvation front	NAMED TERROR GROUP
islamic shashantantra andolon	NAMED TERROR GROUP
islamic task organization	NAMED TERROR GROUP
islami oikya jote	NAMED TERROR GROUP
italian red brigade	NAMED TERROR GROUP
izz ad din al qassam brigade	NAMED TERROR GROUP
jabarty arab nationalist party	NAMED TERROR GROUP
jamaatul mujahideen bangladesh	NAMED TERROR GROUP
jagrata muslim janata bangladesh	NAMED TERROR GROUP
hizb ut tawhid	NAMED TERROR GROUP
jabhat al nusrah	NAMED TERROR GROUP
jabhat al nusra	NAMED TERROR GROUP
jabat al nusra	NAMED TERROR GROUP
jahbat al nusra	NAMED TERROR GROUP
al nusrah	NAMED TERROR GROUP
al nusra	NAMED TERROR GROUP
nusra front	NAMED TERROR GROUP
jabhat al tahrir al arabiyya	NAMED TERROR GROUP
jabhatul islamiya	NAMED TERROR GROUP
jagrata muslim janata bangladesh	NAMED TERROR GROUP
jahafil al tawhid wal jihad fi filastin	NAMED TERROR GROUP
jaime bateman cayon group	NAMED TERROR GROUP
jaish al muhajireen wal ansar	NAMED TERROR GROUP
jaish al taifa al mansoura	NAMED TERROR GROUP
jaish e mohammad	NAMED TERROR GROUP
jaish e mohammed	NAMED TERROR GROUP
jaish e muhammed	NAMED TERROR GROUP
jaish i mohammad	NAMED TERROR GROUP
jaish i mohammed	NAMED TERROR GROUP
jaish i muhammad	NAMED TERROR GROUP
jaish i muhammed	NAMED TERROR GROUP
jaish ul muslimin	NAMED TERROR GROUP
jamaa ahlu sunna	NAMED TERROR GROUP
jamaah ansharut tauhid	NAMED TERROR GROUP
jamaat al fuqra	NAMED TERROR GROUP
jamaat al islamiyya	NAMED TERROR GROUP
jama'at al jihad al islami	NAMED TERROR GROUP
jama'at al muslimin	NAMED TERROR GROUP
jamaat ansar al sunna	NAMED TERROR GROUP
jamaat e islami	NAMED TERROR GROUP
jamaat ud dawa	NAMED TERROR GROUP
jamaat ul fuqra	NAMED TERROR GROUP
jamaat ul furquan	NAMED TERROR GROUP
jamaat ul mujahideen bangladesh	NAMED TERROR GROUP
jamaa'tul tawhid wal jihad	NAMED TERROR GROUP
jamatul mujahedin bangladesh	NAMED TERROR GROUP
jamiat al islah al idzhtimai	NAMED TERROR GROUP
jamiat e islami	NAMED TERROR GROUP
jamiat ul ansar	NAMED TERROR GROUP
jamiat ul ansar	NAMED TERROR GROUP
jamiat ul mujahedin	NAMED TERROR GROUP
jammu and kashmir islamic front	NAMED TERROR GROUP
jammu and kashmir liberation front	NAMED TERROR GROUP
japanese red army	NAMED TERROR GROUP
jeish e mahammed	NAMED TERROR GROUP
jemaah islamiya	NAMED TERROR GROUP
jemaah islamiyah	NAMED TERROR GROUP
jenin martyr's brigade	NAMED TERROR GROUP
jewish defence league	NAMED TERROR GROUP
jewish defense league	NAMED TERROR GROUP
jewish fighting organization	NAMED TERROR GROUP
jewish fighting organisation	NAMED TERROR GROUP
jihad committee	NAMED TERROR GROUP
jihadist al faruq brigade	NAMED TERROR GROUP
jordanian free officers movement	NAMED TERROR GROUP
jordanian islamic resistance	NAMED TERROR GROUP
jordanian military and revolutionary committee	NAMED TERROR GROUP
jordanian national liberation movement	NAMED TERROR GROUP
jordanian revolutionary and military committee	NAMED TERROR GROUP
junayd jihadist brigade	NAMED TERROR GROUP
jundallah	NAMED TERROR GROUP
jund al sham	NAMED TERROR GROUP
jund ansar allah	NAMED TERROR GROUP
justice and revenge front	NAMED TERROR GROUP
justice and vengeance front	NAMED TERROR GROUP
kabataang makabayan	NAMED TERROR GROUP
kach and kahane chai	NAMED TERROR GROUP
kach party	NAMED TERROR GROUP
kakurokyo	NAMED TERROR GROUP
kamtapur liberation organisation	NAMED TERROR GROUP
kamtapur liberation organization	NAMED TERROR GROUP
kangleipak communist party	NAMED TERROR GROUP
kanglei yawol kanna lup	NAMED TERROR GROUP
karbala brigades	NAMED TERROR GROUP
karen national union	NAMED TERROR GROUP
karenni national progressive party	NAMED TERROR GROUP
kashmir liberation army	NAMED TERROR GROUP
kata'ib al junayd al jihadiyah	NAMED TERROR GROUP
kataib al khoul	NAMED TERROR GROUP
kata'ib hezbollah	NAMED TERROR GROUP
kayin national union	NAMED TERROR GROUP
kenkoku giyugun chosen seibatsutai	NAMED TERROR GROUP
khaibar brigade	NAMED TERROR GROUP
khalistan commando force	NAMED TERROR GROUP
khalistan zindabad force	NAMED TERROR GROUP
khmer communist party	NAMED TERROR GROUP
khmer rouge	NAMED TERROR GROUP
khuddam ul islam	NAMED TERROR GROUP
knights of the torched bank	NAMED TERROR GROUP
knights of the white kamelia	NAMED TERROR GROUP
komando jihad	NAMED TERROR GROUP
kongra gel	NAMED TERROR GROUP
kongreya azadi u demokrasiya kurdistan	NAMED TERROR GROUP
kosovo liberation army	NAMED TERROR GROUP
kuki liberation army	NAMED TERROR GROUP
ku klux klan	NAMED TERROR GROUP
kumpulan mujahidin malaysia	NAMED TERROR GROUP
kurdish hizbollah	NAMED TERROR GROUP
kurdish islamic unity party	NAMED TERROR GROUP
